type,NUMBERITERATIONS-,TIMETOSOLUTION-,Avg evals,budget,run
all,6.0,133.54,0.0,20,1
sway1,5.0,110.4,10.0,20,1
xpln1,5.0,135.12,10.0,20,1
sway2,5.0,127.31,2.0,20,1
xpln2,5.0,114.25,2.0,20,1
top,4.0,80.14,1000.0,20,1
all,6.5,133.32999999999998,0.0,20,2
sway1,5.5,93.57,10.0,20,2
xpln1,5.5,110.565,10.0,20,2
sway2,5.5,123.07,3.5,20,2
xpln2,5.5,107.66,3.5,20,2
top,4.0,79.935,1000.0,20,2
all,6.333333333333333,134.80999999999997,0.0,20,3
sway1,5.0,104.09333333333332,10.0,20,3
xpln1,5.333333333333333,127.5,10.0,20,3
sway2,5.333333333333333,121.21666666666665,2.3333333333333335,20,3
xpln2,5.333333333333333,111.65333333333332,2.3333333333333335,20,3
top,4.0,82.12,1000.0,20,3
all,6.25,134.6625,0.0,20,4
sway1,5.0,99.25999999999999,10.0,20,4
xpln1,5.25,120.845,10.0,20,4
sway2,5.25,118.845,3.0,20,4
xpln2,5.25,108.23249999999999,3.0,20,4
top,4.0,81.93,1000.0,20,4
all,6.4,134.358,0.0,20,5
sway1,4.8,104.176,10.0,20,5
xpln1,5.2,123.53800000000001,10.0,20,5
sway2,5.2,113.34200000000001,3.0,20,5
xpln2,5.4,104.46199999999999,3.0,20,5
top,4.0,81.90400000000001,1000.0,20,5
all,6.5,133.94833333333332,0.0,20,6
sway1,4.833333333333333,104.315,10.0,20,6
xpln1,5.166666666666667,120.69166666666668,10.0,20,6
sway2,5.166666666666667,118.78666666666668,3.1666666666666665,20,6
xpln2,5.333333333333333,109.79166666666667,3.1666666666666665,20,6
top,4.0,81.83500000000001,1000.0,20,6
all,6.571428571428571,134.01714285714283,0.0,20,7
sway1,4.857142857142857,105.78714285714285,10.0,20,7
xpln1,5.142857142857143,123.34428571428573,10.0,20,7
sway2,5.285714285714286,114.46428571428571,3.0,20,7
xpln2,5.428571428571429,106.38714285714286,3.0,20,7
top,4.0,82.54714285714286,1000.0,20,7
all,6.625,134.23999999999998,0.0,20,8
sway1,4.875,109.10875,10.0,20,8
xpln1,5.25,122.71375,10.0,20,8
sway2,5.25,113.5,3.25,20,8
xpln2,5.375,106.4625,3.25,20,8
top,4.0,82.5925,1000.0,20,8
all,6.666666666666667,134.64444444444442,0.0,20,9
sway1,4.777777777777778,107.86555555555555,10.0,20,9
xpln1,5.333333333333333,124.17,10.0,20,9
sway2,5.333333333333333,111.55666666666667,3.111111111111111,20,9
xpln2,5.444444444444445,104.51555555555557,3.111111111111111,20,9
top,4.0,82.67777777777778,1000.0,20,9
all,6.7,134.74599999999998,0.0,20,10
sway1,4.8,109.28099999999999,10.0,20,10
xpln1,5.3,121.83,10.0,20,10
sway2,5.4,110.478,3.2,20,10
xpln2,5.4,104.141,3.2,20,10
top,4.0,82.81,1000.0,20,10
all,6.7272727272727275,134.60727272727271,0.0,20,11
sway1,4.818181818181818,108.7990909090909,10.0,20,11
xpln1,5.363636363636363,118.58090909090907,10.0,20,11
sway2,5.454545454545454,113.45363636363636,3.1818181818181817,20,11
xpln2,5.363636363636363,107.38727272727273,3.1818181818181817,20,11
top,4.0,83.17909090909092,1000.0,20,11
all,6.75,135.15416666666667,0.0,20,12
sway1,4.75,110.08666666666666,10.0,20,12
xpln1,5.333333333333333,118.59249999999999,10.0,20,12
sway2,5.416666666666667,112.98916666666666,2.9166666666666665,20,12
xpln2,5.333333333333333,107.42833333333333,2.9166666666666665,20,12
top,4.0,83.22916666666667,1000.0,20,12
all,6.769230769230769,135.39,0.0,20,13
sway1,4.6923076923076925,112.0,10.0,20,13
xpln1,5.3076923076923075,120.26384615384615,10.0,20,13
sway2,5.538461538461538,111.39230769230768,3.0,20,13
xpln2,5.461538461538462,106.23461538461538,3.0,20,13
top,4.0,82.67999999999999,1000.0,20,13
all,6.714285714285714,135.22285714285712,0.0,20,14
sway1,5.071428571428571,113.79357142857144,10.0,20,14
xpln1,5.357142857142857,119.95142857142856,10.0,20,14
sway2,5.571428571428571,113.93499999999999,3.0,20,14
xpln2,5.428571428571429,108.72142857142856,3.0,20,14
top,4.0,82.65785714285714,1000.0,20,14
all,6.733333333333333,135.20999999999998,0.0,20,15
sway1,5.066666666666666,112.10200000000002,10.0,20,15
xpln1,5.333333333333333,118.718,10.0,20,15
sway2,5.533333333333333,113.92733333333332,3.0,20,15
xpln2,5.4,109.34133333333332,3.0,20,15
top,4.0,83.09733333333334,1000.0,20,15
all,6.75,135.23,0.0,20,16
sway1,5.5,109.88000000000001,10.0,20,16
xpln1,5.375,116.379375,10.0,20,16
sway2,5.5625,111.504375,2.9375,20,16
xpln2,5.4375,107.58874999999999,2.9375,20,16
top,4.0,83.05625,1000.0,20,16
all,6.764705882352941,135.22411764705882,0.0,20,17
sway1,5.470588235294118,107.95058823529412,10.0,20,17
xpln1,5.352941176470588,116.49235294117646,10.0,20,17
sway2,5.529411764705882,111.19823529411764,3.0588235294117645,20,17
xpln2,5.470588235294118,107.33470588235294,3.0588235294117645,20,17
top,4.0,83.08352941176472,1000.0,20,17
all,6.777777777777778,135.56055555555557,0.0,20,18
sway1,5.5,106.90055555555556,10.0,20,18
xpln1,5.388888888888889,114.93166666666667,10.0,20,18
sway2,5.5,112.78277777777777,3.111111111111111,20,18
xpln2,5.444444444444445,109.13388888888888,3.111111111111111,20,18
top,4.0,83.28666666666668,1000.0,20,18
all,6.7894736842105265,135.47736842105263,0.0,20,19
sway1,5.526315789473684,105.42105263157895,10.0,20,19
xpln1,5.368421052631579,114.18947368421053,10.0,20,19
sway2,5.473684210526316,113.29473684210525,3.1052631578947367,20,19
xpln2,5.421052631578948,110.4757894736842,3.1052631578947367,20,19
top,4.0,83.20052631578949,1000.0,20,19
all,6.8,135.60250000000002,0.0,20,20
sway1,5.55,106.098,10.0,20,20
xpln1,5.35,113.67749999999998,10.0,20,20
sway2,5.45,112.96849999999999,3.1,20,20
xpln2,5.4,110.0835,3.1,20,20
top,4.0,83.17500000000001,1000.0,20,20
