type,NUMBERITERATIONS-,TIMETOSOLUTION-,Avg evals,budget,run
all,6.0,133.54,0.0,5,1
sway1,3.0,73.27,10.0,5,1
xpln1,7.0,147.86,10.0,5,1
sway2,4.0,70.77,2.0,5,1
xpln2,5.0,123.02,2.0,5,1
top,3.0,56.31,1000.0,5,1
all,6.5,136.305,0.0,5,2
sway1,3.5,87.445,10.0,5,2
xpln1,6.5,134.86,10.0,5,2
sway2,4.0,68.715,2.0,5,2
xpln2,5.0,123.08,2.0,5,2
top,3.0,53.84,1000.0,5,2
all,6.666666666666667,135.06,0.0,5,3
sway1,3.6666666666666665,81.30333333333333,10.0,5,3
xpln1,6.333333333333333,127.81333333333335,10.0,5,3
sway2,4.0,70.37666666666667,3.0,5,3
xpln2,5.333333333333333,120.14,3.0,5,3
top,3.3333333333333335,50.576666666666675,1000.0,5,3
all,6.75,135.0275,0.0,5,4
sway1,3.75,82.4875,10.0,5,4
xpln1,6.25,124.56750000000001,10.0,5,4
sway2,4.0,67.945,2.75,5,4
xpln2,5.5,119.7025,2.75,5,4
top,3.5,50.9025,1000.0,5,4
all,6.8,134.102,0.0,5,5
sway1,3.8,89.25999999999999,10.0,5,5
xpln1,6.2,129.31,10.0,5,5
sway2,4.0,69.68599999999999,2.6,5,5
xpln2,5.6,118.61800000000001,2.6,5,5
top,3.6,48.672000000000004,1000.0,5,5
all,6.666666666666667,134.75333333333333,0.0,5,6
sway1,3.6666666666666665,82.565,10.0,5,6
xpln1,6.666666666666667,135.67666666666668,10.0,5,6
sway2,4.166666666666667,71.03166666666665,2.8333333333333335,5,6
xpln2,5.666666666666667,120.42666666666668,2.8333333333333335,5,6
top,3.6666666666666665,49.116666666666674,1000.0,5,6
all,6.714285714285714,134.48714285714286,0.0,5,7
sway1,3.7142857142857144,81.49571428571429,10.0,5,7
xpln1,6.571428571428571,131.31,10.0,5,7
sway2,4.285714285714286,69.89857142857143,3.0,5,7
xpln2,5.571428571428571,118.9457142857143,3.0,5,7
top,3.7142857142857144,49.89428571428572,1000.0,5,7
all,6.75,134.47125,0.0,5,8
sway1,3.75,81.43875,10.0,5,8
xpln1,6.5,129.19,10.0,5,8
sway2,4.5,68.03875,3.125,5,8
xpln2,6.875,139.37125000000003,3.125,5,8
top,3.625,47.821250000000006,1000.0,5,8
all,6.777777777777778,134.52222222222224,0.0,5,9
sway1,3.7777777777777777,83.82444444444444,10.0,5,9
xpln1,6.555555555555555,129.48555555555555,10.0,5,9
sway2,4.666666666666667,65.93666666666667,3.2222222222222223,5,9
xpln2,6.777777777777778,137.7788888888889,3.2222222222222223,5,9
top,3.5555555555555554,50.480000000000004,1000.0,5,9
all,6.8,134.693,0.0,5,10
sway1,3.8,85.614,10.0,5,10
xpln1,6.5,129.332,10.0,5,10
sway2,4.6,68.62199999999999,3.2,5,10
xpln2,6.7,136.23000000000002,3.2,5,10
top,3.5,56.290000000000006,1000.0,5,10
all,6.818181818181818,135.28181818181818,0.0,5,11
sway1,3.8181818181818183,84.65363636363635,10.0,5,11
xpln1,6.454545454545454,130.58181818181816,10.0,5,11
sway2,4.545454545454546,68.55272727272727,3.272727272727273,5,11
xpln2,6.636363636363637,134.37727272727273,3.272727272727273,5,11
top,3.5454545454545454,55.83454545454546,1000.0,5,11
