type,PSNR-,Energy-,Avg evals,budget,run
all,45.67,1237.73,0.0,20,1
sway1,46.07,1092.06,9.0,20,1
xpln1,41.84,709.18,9.0,20,1
sway2,42.01,990.57,2.0,20,1
xpln2,45.4,1090.41,2.0,20,1
top,29.98,531.06,1000.0,20,1
all,45.745000000000005,1243.585,0.0,20,2
sway1,43.864999999999995,1105.92,9.0,20,2
xpln1,44.605000000000004,876.4300000000001,9.0,20,2
sway2,44.595,856.3900000000001,2.5,20,2
xpln2,45.685,1066.1100000000001,2.5,20,2
top,28.79,550.9649999999999,1000.0,20,2
all,45.76,1216.7666666666667,0.0,20,3
sway1,42.13666666666666,2031.676666666667,9.0,20,3
xpln1,44.76333333333334,2044.0033333333333,9.0,20,3
sway2,43.72,807.2166666666667,1.6666666666666667,20,3
xpln2,45.300000000000004,1059.5400000000002,1.6666666666666667,20,3
top,28.836666666666662,564.2566666666667,1000.0,20,3
all,45.8,1226.5900000000001,0.0,20,4
sway1,41.6,1776.0700000000002,9.0,20,4
xpln1,45.237500000000004,1716.915,9.0,20,4
sway2,43.92,916.3575000000001,2.25,20,4
xpln2,45.335,1103.2475,2.25,20,4
top,29.314999999999998,557.8050000000001,1000.0,20,4
all,45.824,1236.2600000000002,0.0,20,5
sway1,41.198,1734.9920000000002,9.0,20,5
xpln1,45.45,1754.148,9.0,20,5
sway2,43.254000000000005,957.308,1.8,20,5
xpln2,45.186,1107.84,1.8,20,5
top,29.266,619.048,1000.0,20,5
all,45.818333333333335,1237.5933333333335,0.0,20,6
sway1,41.57,1687.716666666667,9.0,20,6
xpln1,45.53,1638.3933333333334,9.0,20,6
sway2,42.665,1021.6716666666666,2.1666666666666665,20,6
xpln2,45.294999999999995,1111.6766666666665,2.1666666666666665,20,6
top,29.365,633.3133333333334,1000.0,20,6
all,45.83571428571429,1244.8071428571432,0.0,20,7
sway1,41.564285714285724,1825.7100000000003,9.0,20,7
xpln1,45.28000000000001,1813.1000000000001,9.0,20,7
sway2,43.13142857142857,1027.34,2.142857142857143,20,7
xpln2,45.324285714285715,1103.62,2.142857142857143,20,7
top,29.284285714285716,645.2842857142857,1000.0,20,7
all,45.837500000000006,1253.1200000000001,0.0,20,8
sway1,42.04750000000001,1849.4875000000002,9.0,20,8
xpln1,45.4525,1884.7575000000002,9.0,20,8
sway2,42.6875,1047.34,2.125,20,8
xpln2,45.37625,1106.3,2.125,20,8
top,29.356250000000003,651.51,1000.0,20,8
all,45.847777777777786,1245.8222222222223,0.0,20,9
sway1,41.84444444444445,1769.268888888889,9.0,20,9
xpln1,45.49777777777778,1807.6322222222225,9.0,20,9
sway2,42.607777777777784,1074.3666666666666,2.111111111111111,20,9
xpln2,45.275555555555556,1109.83,2.111111111111111,20,9
top,29.260000000000005,675.1222222222223,1000.0,20,9
all,45.855000000000004,1249.8660000000002,0.0,20,10
sway1,41.737,1643.9030000000002,9.0,20,10
xpln1,45.542,1719.336,9.0,20,10
sway2,42.522000000000006,1033.9699999999998,2.1,20,10
xpln2,45.106,1123.3809999999999,2.1,20,10
top,29.333000000000006,659.9680000000001,1000.0,20,10
all,45.84,1253.6618181818185,0.0,20,11
sway1,42.00727272727273,1545.8200000000004,9.0,20,11
xpln1,45.35727272727273,1678.0990909090908,9.0,20,11
sway2,42.939090909090915,1001.3936363636362,2.1818181818181817,20,11
xpln2,45.190909090909095,1094.0354545454545,2.1818181818181817,20,11
top,29.29909090909091,647.569090909091,1000.0,20,11
all,45.84666666666667,1257.64,0.0,20,12
sway1,42.236666666666665,1485.641666666667,9.0,20,12
xpln1,45.57583333333333,1650.5349999999999,9.0,20,12
sway2,42.8025,975.8724999999998,2.1666666666666665,20,12
xpln2,45.245000000000005,1098.7441666666666,2.1666666666666665,20,12
top,29.258333333333336,651.2125,1000.0,20,12
all,45.85153846153847,1260.546153846154,0.0,20,13
sway1,42.18692307692307,1409.7369230769234,9.0,20,13
xpln1,45.295384615384606,1603.4923076923076,9.0,20,13
sway2,42.603846153846156,946.6607692307691,2.1538461538461537,20,13
xpln2,45.2823076923077,1103.4584615384615,2.1538461538461537,20,13
top,29.30461538461539,653.8815384615385,1000.0,20,13
all,45.82,1261.7550000000003,0.0,20,14
sway1,42.12071428571428,1392.911428571429,9.0,20,14
xpln1,44.96785714285714,1562.4514285714286,9.0,20,14
sway2,42.80214285714286,963.2121428571427,2.142857142857143,20,14
xpln2,45.29428571428572,1099.547142857143,2.142857142857143,20,14
top,29.43642857142857,660.2557142857144,1000.0,20,14
all,45.82733333333333,1267.482666666667,0.0,20,15
sway1,42.08266666666666,1402.248666666667,9.0,20,15
xpln1,44.85466666666666,1646.6986666666667,9.0,20,15
sway2,42.721333333333334,964.1213333333332,2.2,20,15
