type,PSNR-,Energy-,Avg evals,budget,run
all,45.67,1237.73,0.0,20,1
sway1,27.45,522.42,9.0,20,1
xpln1,44.66,1094.1,9.0,20,1
sway2,29.76,565.11,5.0,20,1
xpln2,44.66,1094.1,5.0,20,1
top,19.21,371.18,1000.0,20,1
all,45.745000000000005,1290.63,0.0,20,2
sway1,24.53,604.165,9.0,20,2
xpln1,45.29,2125.8199999999997,9.0,20,2
sway2,24.485,467.83500000000004,2.5,20,2
xpln2,44.545,1134.8899999999999,2.5,20,2
top,19.21,370.87,1000.0,20,2
all,45.80666666666667,1276.11,0.0,20,3
sway1,26.19666666666667,503.48999999999995,9.0,20,3
xpln1,45.48,1794.0199999999998,9.0,20,3
sway2,26.506666666666664,423.5566666666667,2.3333333333333335,20,3
xpln2,44.98333333333333,1133.3999999999999,2.3333333333333335,20,3
top,21.526666666666667,432.95,1000.0,20,3
all,45.81,1291.36,0.0,20,4
sway1,30.615000000000002,377.61749999999995,9.0,20,4
xpln1,45.567499999999995,1612.125,9.0,20,4
sway2,26.655,383.52250000000004,2.5,20,4
xpln2,45.19499999999999,1116.6599999999999,2.5,20,4
top,22.775,401.7625,1000.0,20,4
all,45.83200000000001,1276.018,0.0,20,5
sway1,28.334000000000003,376.56199999999995,9.0,20,5
xpln1,45.138,1512.452,9.0,20,5
sway2,27.139999999999997,356.738,2.0,20,5
xpln2,44.699999999999996,1112.37,2.0,20,5
top,22.522,469.02199999999993,1000.0,20,5
all,45.845000000000006,1265.2283333333332,0.0,20,6
sway1,27.186666666666667,433.3616666666666,9.0,20,6
xpln1,45.251666666666665,1800.8383333333334,9.0,20,6
sway2,27.004999999999995,393.2516666666667,2.0,20,6
xpln2,44.78333333333333,1108.8999999999999,2.0,20,6
top,21.416666666666668,390.85166666666663,1000.0,20,6
all,45.80285714285715,1258.1542857142856,0.0,20,7
sway1,27.29,451.9871428571428,9.0,20,7
xpln1,45.121428571428574,1711.8357142857144,9.0,20,7
sway2,27.394285714285708,404.45,2.0,20,7
xpln2,44.71999999999999,1118.7457142857143,2.0,20,7
top,21.43285714285714,372.4057142857142,1000.0,20,7
all,45.81000000000001,1256.4775,0.0,20,8
sway1,27.20375,444.89625,9.0,20,8
xpln1,45.196250000000006,1649.13375,9.0,20,8
sway2,27.524999999999995,371.2,2.0,20,8
xpln2,44.56999999999999,1115.71625,2.0,20,8
top,22.30875,343.16124999999994,1000.0,20,8
all,45.74444444444445,1253.5466666666666,0.0,20,9
sway1,28.805555555555557,436.1544444444445,9.0,20,9
xpln1,45.43444444444445,1572.1322222222223,9.0,20,9
sway2,27.877777777777773,366.65,2.0,20,9
xpln2,44.71888888888888,1121.35,2.0,20,9
top,22.619999999999997,382.95333333333326,1000.0,20,9
all,45.75500000000001,1252.346,0.0,20,10
sway1,28.663999999999998,460.291,9.0,20,10
xpln1,45.48400000000001,1542.961,9.0,20,10
sway2,27.541999999999994,391.15500000000003,1.8,20,10
xpln2,44.39899999999999,1113.758,1.8,20,10
top,22.520999999999997,370.1529999999999,1000.0,20,10
all,45.77000000000001,1256.080909090909,0.0,20,11
sway1,29.164545454545454,423.2809090909091,9.0,20,11
xpln1,45.296363636363644,1515.14,9.0,20,11
sway2,27.63272727272727,390.78545454545457,1.8181818181818181,20,11
xpln2,44.66090909090908,1107.6327272727272,1.8181818181818181,20,11
top,22.439999999999998,360.19818181818175,1000.0,20,11
all,45.78416666666667,1254.8933333333332,0.0,20,12
sway1,29.935833333333335,415.79583333333335,9.0,20,12
xpln1,45.34083333333334,1487.1983333333335,9.0,20,12
sway2,28.558333333333334,396.54,1.8333333333333333,20,12
xpln2,44.720833333333324,1111.12,1.8333333333333333,20,12
top,21.894166666666663,330.1816666666666,1000.0,20,12
all,45.784615384615385,1249.883076923077,0.0,20,13
sway1,29.244615384615386,383.8115384615385,9.0,20,13
xpln1,45.415384615384625,1444.5669230769233,9.0,20,13
sway2,28.83,394.6338461538462,1.8461538461538463,20,13
xpln2,44.92384615384614,1103.2792307692307,1.8461538461538463,20,13
top,22.10230769230769,350.99923076923073,1000.0,20,13
all,45.790000000000006,1248.712142857143,0.0,20,14
sway1,28.69357142857143,373.5021428571428,9.0,20,14
xpln1,45.55285714285715,1427.964285714286,9.0,20,14
sway2,29.541428571428572,398.45571428571435,1.9285714285714286,20,14
xpln2,44.99642857142856,1100.1964285714287,1.9285714285714286,20,14
top,22.470714285714283,349.89214285714286,1000.0,20,14
all,45.79933333333334,1244.8873333333333,0.0,20,15
sway1,28.21066666666667,420.54533333333336,9.0,20,15
xpln1,45.40066666666667,1524.1006666666667,9.0,20,15
sway2,29.474666666666668,397.6980000000001,2.0,20,15
xpln2,45.152666666666654,1101.2406666666668,2.0,20,15
top,22.403999999999996,342.96799999999996,1000.0,20,15
