type,CityMPG+,HighwayMPG+,Weight-,Class-,Avg evals,budget,run
all,21.0,28.0,3040.0,17.7,0.0,2,1
sway1,29.0,33.0,2055.0,9.8,0.25,2,1
xpln1,26.0,34.0,2055.0,9.8,0.25,2,1
sway2,25.0,33.0,2270.0,9.2,0.1,2,1
xpln2,28.0,33.0,2350.0,10.9,0.1,2,1
top,39.0,43.0,1695.0,8.4,4.65,2,1
all,21.0,28.0,3040.0,17.7,0.0,2,2
sway1,29.5,34.5,2265.0,11.15,0.5,2,2
xpln1,28.0,35.0,1875.0,9.100000000000001,0.5,2,2
sway2,25.0,33.0,2057.5,8.3,0.2,2,2
xpln2,25.0,31.0,2600.0,13.4,0.2,2,2
top,39.0,43.0,1695.0,8.4,9.3,2,2
all,21.0,28.0,3040.0,17.7,0.0,2,3
sway1,29.333333333333332,34.0,2075.0,10.233333333333334,0.75,2,3
xpln1,28.333333333333332,34.333333333333336,1931.6666666666667,8.866666666666667,0.75,2,3
sway2,24.333333333333332,32.0,2155.0,8.533333333333333,0.3,2,3
xpln2,26.0,32.666666666666664,2558.3333333333335,12.633333333333333,0.3,2,3
top,39.0,43.0,1695.0,8.4,13.95,2,3
all,21.0,28.0,3040.0,17.7,0.0,2,4
sway1,26.75,32.5,2268.75,11.450000000000001,1.0,2,4
xpln1,26.75,32.75,2161.25,10.625,1.0,2,4
sway2,24.5,31.75,2176.25,8.675,0.3,2,4
xpln2,26.75,32.75,2500.0,11.975,0.3,2,4
top,39.0,43.0,1695.0,8.4,18.6,2,4
all,21.0,28.0,3040.0,17.7,0.0,2,5
sway1,25.8,31.8,2263.0,10.98,1.25,2,5
xpln1,27.2,32.8,2198.0,10.5,1.25,2,5
sway2,24.0,30.8,2298.0,9.22,0.4,2,5
xpln2,26.0,32.2,2594.0,12.74,0.4,2,5
top,39.0,43.0,1695.0,8.4,23.25,2,5
all,21.0,28.0,3040.0,17.7,0.0,2,6
sway1,27.0,32.666666666666664,2226.6666666666665,10.55,1.5,2,6
xpln1,26.833333333333332,32.333333333333336,2246.6666666666665,10.566666666666666,1.5,2,6
sway2,24.166666666666668,31.333333333333332,2306.6666666666665,9.183333333333334,0.5,2,6
xpln2,25.5,31.833333333333332,2601.6666666666665,12.850000000000001,0.5,2,6
top,39.0,43.0,1695.0,8.4,27.9,2,6
all,21.0,28.0,3040.0,17.7,0.0,2,7
sway1,26.714285714285715,32.714285714285715,2189.285714285714,10.271428571428572,1.75,2,7
xpln1,27.714285714285715,33.57142857142857,2206.4285714285716,10.257142857142856,1.75,2,7
sway2,24.285714285714285,31.714285714285715,2332.8571428571427,9.5,0.6,2,7
xpln2,24.428571428571427,31.0,2692.8571428571427,13.285714285714288,0.6,2,7
top,39.0,43.0,1695.0,8.4,32.55,2,7
all,21.0,28.0,3040.0,17.7,0.0,2,8
sway1,26.25,32.25,2161.25,10.0625,2.0,2,8
xpln1,27.875,33.5,2223.75,10.225,2.0,2,8
sway2,24.5,32.0,2326.875,9.5625,0.6,2,8
xpln2,24.625,31.25,2650.0,12.987500000000002,0.6,2,8
top,39.0,43.0,1695.0,8.4,37.2,2,8
all,21.0,28.0,3040.0,17.7,0.0,2,9
sway1,26.11111111111111,32.333333333333336,2170.0,9.833333333333334,2.25,2,9
xpln1,28.333333333333332,33.888888888888886,2205.0,10.044444444444444,2.25,2,9
sway2,24.0,31.444444444444443,2359.4444444444443,9.61111111111111,0.6,2,9
xpln2,24.333333333333332,31.0,2616.1111111111113,12.655555555555559,0.6,2,9
top,39.0,43.0,1695.0,8.4,41.85,2,9
all,21.0,28.0,3040.0,17.699999999999996,0.0,2,10
sway1,28.1,34.1,2122.5,9.690000000000001,2.5,2,10
xpln1,28.5,34.1,2154.0,9.879999999999999,2.5,2,10
sway2,23.8,31.0,2373.0,9.76,0.7,2,10
xpln2,24.8,31.2,2584.0,12.370000000000001,0.7,2,10
top,39.0,43.0,1695.0,8.400000000000002,46.5,2,10
all,21.0,28.0,3040.0,17.699999999999996,0.0,2,11
sway1,29.09090909090909,34.90909090909091,2108.181818181818,9.590909090909092,2.75,2,11
xpln1,29.454545454545453,34.90909090909091,2136.818181818182,9.763636363636364,2.75,2,11
sway2,23.636363636363637,30.636363636363637,2391.3636363636365,9.881818181818181,0.8,2,11
xpln2,24.636363636363637,31.09090909090909,2619.090909090909,12.681818181818185,0.8,2,11
top,39.0,43.0,1695.0,8.400000000000002,51.15,2,11
all,21.0,28.0,3040.0,17.699999999999996,0.0,2,12
sway1,28.75,34.5,2119.1666666666665,9.549999999999999,3.0,2,12
xpln1,29.416666666666668,34.75,2145.4166666666665,9.708333333333332,3.0,2,12
sway2,23.5,30.333333333333332,2402.9166666666665,9.899999999999999,0.9,2,12
xpln2,24.666666666666668,31.25,2608.3333333333335,12.591666666666669,0.9,2,12
top,39.0,43.0,1695.0,8.400000000000002,55.8,2,12
all,21.0,28.0,3040.0,17.699999999999996,0.0,2,13
sway1,28.46153846153846,34.15384615384615,2107.3076923076924,9.476923076923075,3.25,2,13
xpln1,29.384615384615383,34.61538461538461,2160.769230769231,9.73076923076923,3.25,2,13
sway2,23.384615384615383,30.076923076923077,2423.4615384615386,10.007692307692308,1.0,2,13
xpln2,24.53846153846154,31.153846153846153,2609.230769230769,12.584615384615386,1.0,2,13
top,39.0,43.0,1695.0,8.400000000000002,60.45,2,13
all,21.0,28.0,3040.0,17.699999999999996,0.0,2,14
sway1,28.5,34.07142857142857,2103.5714285714284,9.5,3.5,2,14
xpln1,29.357142857142858,34.5,2168.5714285714284,9.692857142857141,3.5,2,14
sway2,23.5,30.142857142857142,2371.4285714285716,9.892857142857142,1.0,2,14
xpln2,24.857142857142858,31.285714285714285,2590.3571428571427,12.400000000000002,1.0,2,14
top,39.0,43.0,1695.0,8.400000000000002,65.1,2,14
all,21.0,28.0,3040.0,17.699999999999996,0.0,2,15
sway1,28.6,34.2,2099.6666666666665,9.426666666666668,3.75,2,15
xpln1,29.066666666666666,34.4,2189.0,9.773333333333333,3.75,2,15
sway2,23.4,29.933333333333334,2382.0,9.906666666666666,1.1,2,15
xpln2,24.666666666666668,31.133333333333333,2598.3333333333335,12.506666666666668,1.1,2,15
top,39.0,43.0,1695.0,8.400000000000002,69.75,2,15
all,21.0,28.0,3040.0,17.699999999999996,0.0,2,16
sway1,28.625,34.125,2110.3125,9.4,4.0,2,16
xpln1,29.0625,34.3125,2198.75,9.7875,4.0,2,16
sway2,23.375,29.875,2389.0625,9.98125,1.2,2,16
xpln2,24.9375,31.25,2582.5,12.350000000000001,1.2,2,16
top,39.0,43.0,1695.0,8.400000000000002,74.4,2,16
all,21.0,28.0,3040.0,17.699999999999996,0.0,2,17
sway1,28.41176470588235,34.05882352941177,2101.764705882353,9.352941176470589,4.25,2,17
xpln1,29.176470588235293,34.294117647058826,2190.294117647059,9.717647058823529,4.25,2,17
sway2,23.705882352941178,30.058823529411764,2357.0588235294117,9.829411764705881,1.3,2,17
xpln2,25.294117647058822,31.352941176470587,2539.1176470588234,12.058823529411766,1.3,2,17
top,39.0,43.0,1695.0,8.400000000000002,79.05,2,17
all,21.0,28.0,3040.0,17.699999999999996,0.0,2,18
sway1,28.22222222222222,34.0,2109.4444444444443,9.338888888888889,4.5,2,18
xpln1,28.555555555555557,33.77777777777778,2224.722222222222,10.27222222222222,4.5,2,18
