type,CityMPG+,HighwayMPG+,Weight-,Class-,Avg evals,budget,run
all,21.0,28.0,3040.0,17.7,0.0,10,1
sway1,46.0,50.0,1695.0,8.4,0.2,10,1
xpln1,30.0,36.0,1695.0,8.4,0.2,10,1
sway2,46.0,50.0,1695.0,8.4,0.0,10,1
xpln2,30.0,36.0,1695.0,8.4,0.0,10,1
top,46.0,50.0,1695.0,8.4,4.65,10,1
all,21.0,28.0,3040.0,17.7,0.0,10,2
sway1,39.5,43.5,1870.0,8.4,0.4,10,2
xpln1,27.5,33.0,2092.5,9.65,0.4,10,2
sway2,46.0,50.0,1695.0,8.4,0.0,10,2
xpln2,30.0,36.0,1695.0,8.4,0.0,10,2
top,46.0,50.0,1695.0,8.4,9.3,10,2
all,21.0,28.0,3040.0,17.7,0.0,10,3
sway1,41.666666666666664,45.666666666666664,1811.6666666666667,8.4,0.6,10,3
xpln1,28.333333333333332,34.0,1960.0,9.233333333333334,0.6,10,3
sway2,46.0,50.0,1695.0,8.4,0.0,10,3
xpln2,30.0,36.0,1695.0,8.4,0.0,10,3
top,46.0,50.0,1695.0,8.4,13.95,10,3
all,21.0,28.0,3040.0,17.7,0.0,10,4
sway1,42.75,46.75,1782.5,8.4,0.8,10,4
xpln1,28.75,34.5,1893.75,9.025,0.8,10,4
sway2,46.0,50.0,1695.0,8.4,0.0,10,4
xpln2,30.0,36.0,1695.0,8.4,0.0,10,4
top,46.0,50.0,1695.0,8.4,18.6,10,4
all,21.0,28.0,3040.0,17.7,0.0,10,5
sway1,43.4,47.4,1765.0,8.4,1.0,10,5
xpln1,29.0,34.8,1854.0,8.9,1.0,10,5
sway2,46.0,50.0,1695.0,8.4,0.0,10,5
xpln2,30.0,36.0,1695.0,8.4,0.0,10,5
top,46.0,50.0,1695.0,8.4,23.25,10,5
all,21.0,28.0,3040.0,17.7,0.0,10,6
sway1,43.833333333333336,47.833333333333336,1753.3333333333333,8.4,1.2,10,6
xpln1,29.166666666666668,35.0,1827.5,8.816666666666666,1.2,10,6
sway2,46.0,50.0,1695.0,8.4,0.0,10,6
xpln2,30.0,36.0,1695.0,8.4,0.0,10,6
top,46.0,50.0,1695.0,8.4,27.9,10,6
all,21.0,28.0,3040.0,17.7,0.0,10,7
sway1,44.142857142857146,48.142857142857146,1745.0,8.4,1.4,10,7
xpln1,29.285714285714285,35.142857142857146,1808.5714285714287,8.757142857142856,1.4,10,7
sway2,46.0,50.0,1695.0,8.4,0.0,10,7
xpln2,30.0,36.0,1695.0,8.4,0.0,10,7
top,46.0,50.0,1695.0,8.4,32.55,10,7
all,21.0,28.0,3040.0,17.7,0.0,10,8
sway1,44.375,48.375,1738.75,8.4,1.6,10,8
xpln1,29.375,35.25,1794.375,8.7125,1.6,10,8
sway2,46.0,50.0,1695.0,8.4,0.0,10,8
xpln2,30.0,36.0,1695.0,8.4,0.0,10,8
top,46.0,50.0,1695.0,8.4,37.2,10,8
all,21.0,28.0,3040.0,17.7,0.0,10,9
sway1,44.55555555555556,48.55555555555556,1733.888888888889,8.4,1.8,10,9
xpln1,29.444444444444443,35.333333333333336,1783.3333333333333,8.677777777777779,1.8,10,9
sway2,46.0,50.0,1695.0,8.4,0.0,10,9
xpln2,30.0,36.0,1695.0,8.4,0.0,10,9
top,46.0,50.0,1695.0,8.4,41.85,10,9
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,10
sway1,44.7,48.7,1730.0,8.400000000000002,2.0,10,10
xpln1,29.5,35.4,1774.5,8.650000000000002,2.0,10,10
sway2,46.0,50.0,1695.0,8.400000000000002,0.0,10,10
xpln2,30.0,36.0,1695.0,8.400000000000002,0.0,10,10
top,46.0,50.0,1695.0,8.400000000000002,46.5,10,10
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,11
sway1,44.81818181818182,48.81818181818182,1726.8181818181818,8.400000000000002,2.2,10,11
xpln1,29.545454545454547,35.45454545454545,1767.2727272727273,8.627272727272729,2.2,10,11
sway2,46.0,50.0,1695.0,8.400000000000002,0.0,10,11
xpln2,30.0,36.0,1695.0,8.400000000000002,0.0,10,11
top,46.0,50.0,1695.0,8.400000000000002,51.15,10,11
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,12
sway1,44.916666666666664,48.916666666666664,1724.1666666666667,8.400000000000002,2.4,10,12
xpln1,29.583333333333332,35.5,1761.25,8.608333333333336,2.4,10,12
sway2,46.0,50.0,1695.0,8.400000000000002,0.0,10,12
xpln2,30.0,36.0,1695.0,8.400000000000002,0.0,10,12
top,46.0,50.0,1695.0,8.400000000000002,55.8,10,12
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,13
sway1,45.0,49.0,1721.923076923077,8.400000000000002,2.6,10,13
xpln1,29.615384615384617,35.53846153846154,1756.1538461538462,8.592307692307696,2.6,10,13
sway2,46.0,50.0,1695.0,8.400000000000002,0.0,10,13
xpln2,30.0,36.0,1695.0,8.400000000000002,0.0,10,13
top,46.0,50.0,1695.0,8.400000000000002,60.45,10,13
all,21.0,28.0,3040.0,17.699999999999996,0.0,10,14
sway1,44.57142857142857,48.57142857142857,1739.2857142857142,8.414285714285716,2.8,10,14
