type,Lbs-,Acc+,Mpg+,Avg evals,budget,run
all,2800.0,15.5,20.0,0.0,10,1
sway1,1985.0,17.9,40.0,0.3,10,1
xpln1,2155.0,16.4,30.0,0.3,10,1
sway2,2019.0,15.2,40.0,0.15,10,1
xpln2,2110.0,16.1,30.0,0.15,10,1
top,1985.0,19.2,40.0,19.9,10,1
all,2800.0,15.5,20.0,0.0,10,2
sway1,1985.0,17.4,40.0,0.6,10,2
xpln1,2075.0,16.6,35.0,0.6,10,2
sway2,2142.0,15.2,35.0,0.3,10,2
xpln2,2650.0,15.55,25.0,0.3,10,2
top,1985.0,19.2,40.0,39.8,10,2
all,2800.0,15.5,20.0,0.0,10,3
sway1,2118.3333333333335,17.0,36.666666666666664,0.9,10,3
xpln1,2093.3333333333335,16.46666666666667,33.333333333333336,0.9,10,3
sway2,2131.3333333333335,15.966666666666667,36.666666666666664,0.45,10,3
xpln2,2470.0,15.733333333333334,26.666666666666668,0.45,10,3
top,1985.0,19.2,40.0,59.7,10,3
all,2800.0,15.5,20.0,0.0,10,4
sway1,2087.5,16.8,37.5,1.2,10,4
xpln1,2086.25,16.375,32.5,1.2,10,4
sway2,2126.0,16.075,37.5,0.6,10,4
xpln2,2600.0,15.65,25.0,0.6,10,4
top,1985.0,19.2,40.0,79.6,10,4
all,2800.0,15.5,20.0,0.0,10,5
sway1,2063.6,16.82,38.0,1.5,10,5
xpln1,2100.0,16.380000000000003,32.0,1.5,10,5
sway2,2094.4,16.439999999999998,38.0,0.75,10,5
xpln2,2502.0,15.74,26.0,0.75,10,5
top,1985.0,19.2,40.0,99.5,10,5
all,2800.0,15.5,20.0,0.0,10,6
sway1,2165.0,16.433333333333334,36.666666666666664,1.8,10,6
xpln1,2122.3333333333335,16.26666666666667,31.666666666666668,1.8,10,6
sway2,2097.0,16.616666666666664,38.333333333333336,0.9,10,6
xpln2,2442.5,15.85,26.666666666666668,0.9,10,6
top,1985.0,19.2,40.0,119.4,10,6
all,2800.0,15.5,20.0,0.0,10,7
sway1,2139.285714285714,16.27142857142857,35.714285714285715,2.1,10,7
xpln1,2138.285714285714,16.185714285714287,31.428571428571427,2.1,10,7
sway2,2098.8571428571427,16.585714285714285,38.57142857142857,1.05,10,7
xpln2,2549.285714285714,15.728571428571428,25.714285714285715,1.05,10,7
top,1985.0,19.2,40.0,139.3,10,7
all,2800.0,15.5,20.0,0.0,10,8
sway1,2117.5,16.112499999999997,35.0,2.4,10,8
xpln1,2129.125,16.175,31.25,2.4,10,8
sway2,2100.25,16.412499999999998,38.75,1.2,10,8
xpln2,2604.375,15.6875,25.0,1.2,10,8
top,1985.0,19.2,40.0,159.2,10,8
all,2800.0,15.5,20.0,0.0,10,9
sway1,2130.0,16.04444444444444,34.44444444444444,2.7,10,9
xpln1,2266.4444444444443,16.044444444444444,30.0,2.7,10,9
sway2,2101.3333333333335,16.577777777777776,38.888888888888886,1.35,10,9
xpln2,2647.222222222222,15.655555555555557,24.444444444444443,1.35,10,9
top,1985.0,19.2,40.0,179.1,10,9
all,2800.0,15.5,20.0,0.0,10,10
sway1,2142.4,16.24,33.0,3.0,10,10
xpln1,2261.7,15.99,30.0,3.0,10,10
sway2,2102.2,16.56,39.0,1.5,10,10
xpln2,2681.5,15.63,24.0,1.5,10,10
top,1985.0,19.199999999999996,40.0,199.0,10,10
all,2800.0,15.5,20.0,0.0,10,11
sway1,2124.4545454545455,16.29090909090909,32.72727272727273,3.3,10,11
xpln1,2252.0,16.027272727272727,30.0,3.3,10,11
sway2,2117.0,16.545454545454547,38.18181818181818,1.65,10,11
xpln2,2631.818181818182,15.681818181818182,24.545454545454547,1.65,10,11
top,1985.0,19.199999999999996,40.0,218.9,10,11
all,2800.0,15.5,20.0,0.0,10,12
sway1,2202.4166666666665,16.316666666666666,31.666666666666668,3.6,10,12
xpln1,2297.6666666666665,16.058333333333334,30.0,3.6,10,12
sway2,2129.3333333333335,16.533333333333335,37.5,1.8,10,12
xpln2,2588.3333333333335,15.716666666666667,25.0,1.8,10,12
top,1985.0,19.199999999999996,40.0,238.8,10,12
all,2800.0,15.5,20.0,0.0,10,13
sway1,2201.3846153846152,16.25384615384615,31.53846153846154,3.9,10,13
xpln1,2292.769230769231,16.03076923076923,30.0,3.9,10,13
sway2,2127.846153846154,16.453846153846154,37.69230769230769,1.95,10,13
xpln2,2634.6153846153848,15.661538461538461,24.615384615384617,1.95,10,13
top,1985.0,19.199999999999996,40.0,258.7,10,13
all,2800.0,15.5,20.0,0.0,10,14
sway1,2184.714285714286,16.264285714285712,32.142857142857146,4.2,10,14
xpln1,2282.9285714285716,16.057142857142857,30.0,4.2,10,14
sway2,2116.4285714285716,16.621428571428574,37.857142857142854,2.1,10,14
xpln2,2674.285714285714,15.614285714285714,24.285714285714285,2.1,10,14
top,1985.0,19.199999999999996,40.0,278.6,10,14
all,2800.0,15.5,20.0,0.0,10,15
sway1,2177.3333333333335,16.38,32.0,4.5,10,15
xpln1,2279.6666666666665,16.033333333333335,30.0,4.5,10,15
sway2,2109.9333333333334,16.60666666666667,38.0,2.25,10,15
xpln2,2639.6666666666665,15.666666666666666,24.666666666666668,2.25,10,15
top,1985.0,19.199999999999996,40.0,298.5,10,15
all,2800.0,15.5,20.0,0.0,10,16
sway1,2165.9375,16.36875,32.5,4.8,10,16
xpln1,2271.25,16.0375,30.0,4.8,10,16
sway2,2109.9375,16.59375,38.125,2.4,10,16
xpln2,2606.5625,15.69375,25.0,2.4,10,16
top,1985.0,19.199999999999996,40.0,318.4,10,16
all,2800.0,15.5,20.0,0.0,10,17
sway1,2158.823529411765,16.49411764705882,32.35294117647059,5.1,10,17
xpln1,2264.4117647058824,16.058823529411764,30.0,5.1,10,17
sway2,2120.529411764706,16.61764705882353,37.64705882352941,2.55,10,17
xpln2,2640.8823529411766,15.65294117647059,24.705882352941178,2.55,10,17
top,1985.0,19.199999999999996,40.0,338.3,10,17
all,2800.0,15.5,20.0,0.0,10,18
sway1,2181.9444444444443,16.538888888888888,32.22222222222222,5.4,10,18
xpln1,2271.6666666666665,16.066666666666666,30.0,5.4,10,18
sway2,2128.5555555555557,16.555555555555557,37.22222222222222,2.7,10,18
xpln2,2671.3888888888887,15.616666666666667,24.444444444444443,2.7,10,18
top,1985.0,19.199999999999996,40.0,358.2,10,18
all,2800.0,15.5,20.0,0.0,10,19
sway1,2171.5789473684213,16.442105263157895,32.10526315789474,5.7,10,19
xpln1,2269.684210526316,16.04736842105263,30.0,5.7,10,19
sway2,2135.7368421052633,16.57894736842105,36.8421052631579,2.85,10,19
xpln2,2688.157894736842,15.605263157894736,24.210526315789473,2.85,10,19
top,1985.0,19.199999999999996,40.0,378.1,10,19
all,2800.0,15.5,20.0,0.0,10,20
sway1,2163.95,16.485,32.5,6.0,10,20
xpln1,2261.7,16.05,30.0,6.0,10,20
sway2,2134.45,16.57,37.0,3.0,10,20
xpln2,2659.25,15.63,24.5,3.0,10,20
top,1985.0,19.199999999999996,40.0,398.0,10,20
