type,N_effort-,Avg evals,budget,run
all,2098.0,0.0,8,1
sway1,201.0,6.0,8,1
xpln1,657.0,6.0,8,1
sway2,494.0,2.0,8,1
xpln2,668.0,2.0,8,1
top,114.0,499.0,8,1
all,2098.0,0.0,8,2
sway1,195.5,6.0,8,2
xpln1,631.0,6.0,8,2
sway2,462.5,2.0,8,2
xpln2,667.5,2.0,8,2
top,114.0,499.0,8,2
all,2098.0,0.0,8,3
sway1,280.6666666666667,6.0,8,3
xpln1,605.0,6.0,8,3
sway2,475.6666666666667,2.0,8,3
xpln2,703.0,2.0,8,3
top,114.0,499.0,8,3
all,2098.0,0.0,8,4
sway1,657.0,6.0,8,4
xpln1,1061.25,6.0,8,4
sway2,478.25,2.0,8,4
xpln2,694.25,2.0,8,4
top,114.0,499.0,8,4
all,2098.0,0.0,8,5
sway1,556.6,6.0,8,5
xpln1,961.6,6.0,8,5
sway2,451.4,2.0,8,5
xpln2,689.0,2.0,8,5
top,114.0,499.0,8,5
all,2098.0,0.0,8,6
sway1,514.5,6.0,8,6
xpln1,892.5,6.0,8,6
sway2,451.3333333333333,2.0,8,6
xpln2,685.5,2.0,8,6
top,114.0,499.0,8,6
all,2098.0,0.0,8,7
sway1,471.2857142857143,6.0,8,7
xpln1,796.4285714285714,6.0,8,7
sway2,465.0,2.0,8,7
xpln2,665.7142857142857,2.0,8,7
top,114.0,499.0,8,7
all,2098.0,0.0,8,8
sway1,479.875,6.0,8,8
xpln1,862.75,6.0,8,8
sway2,460.75,2.0,8,8
xpln2,668.25,2.0,8,8
top,114.0,499.0,8,8
all,2098.0,0.0,8,9
sway1,480.6666666666667,6.0,8,9
xpln1,828.3333333333334,6.0,8,9
sway2,447.77777777777777,2.0,8,9
xpln2,654.7777777777778,2.0,8,9
top,114.0,499.0,8,9
all,2098.0,0.0,8,10
sway1,1243.7,6.0,8,10
xpln1,1188.3,6.0,8,10
sway2,445.0,2.0,8,10
xpln2,644.6,2.0,8,10
top,114.0,499.0,8,10
all,2098.0,0.0,8,11
sway1,1319.909090909091,6.0,8,11
xpln1,1196.4545454545455,6.0,8,11
sway2,445.54545454545456,2.0,8,11
xpln2,698.8181818181819,2.0,8,11
top,114.0,499.0,8,11
all,2098.0,0.0,8,12
sway1,1223.5833333333333,6.0,8,12
xpln1,1142.0833333333333,6.0,8,12
sway2,429.4166666666667,2.0,8,12
xpln2,696.25,2.0,8,12
top,114.0,499.0,8,12
all,2098.0,0.0,8,13
sway1,1175.3846153846155,6.0,8,13
xpln1,1107.3076923076924,6.0,8,13
sway2,428.6923076923077,2.0,8,13
xpln2,679.0,2.0,8,13
top,114.0,499.0,8,13
all,2098.0,0.0,8,14
sway1,1135.642857142857,6.0,8,14
xpln1,1073.5,6.0,8,14
sway2,447.07142857142856,2.0,8,14
xpln2,678.1428571428571,2.0,8,14
top,114.0,499.0,8,14
all,2098.0,0.0,8,15
sway1,1093.4,6.0,8,15
xpln1,1096.4,6.0,8,15
sway2,453.73333333333335,2.0,8,15
xpln2,677.4666666666667,2.0,8,15
top,114.0,499.0,8,15
all,2098.0,0.0,8,16
sway1,1040.8125,6.0,8,16
xpln1,1110.8125,6.0,8,16
sway2,446.5,2.0,8,16
xpln2,676.8125,2.0,8,16
top,114.0,499.0,8,16
all,2098.0,0.0,8,17
sway1,1009.7058823529412,6.0,8,17
xpln1,1265.9411764705883,6.0,8,17
sway2,446.70588235294116,2.0,8,17
xpln2,666.0588235294117,2.0,8,17
top,114.0,499.0,8,17
all,2098.0,0.0,8,18
sway1,982.9444444444445,6.0,8,18
xpln1,1336.7222222222222,6.0,8,18
sway2,448.3333333333333,2.0,8,18
xpln2,666.1666666666666,2.0,8,18
top,114.0,499.0,8,18
all,2098.0,0.0,8,19
sway1,942.7894736842105,6.0,8,19
xpln1,1279.2105263157894,6.0,8,19
sway2,442.8421052631579,2.0,8,19
xpln2,666.2631578947369,2.0,8,19
top,114.0,499.0,8,19
all,2098.0,0.0,8,20
sway1,927.65,6.0,8,20
xpln1,1342.25,6.0,8,20
sway2,445.05,2.0,8,20
xpln2,666.35,2.0,8,20
top,114.0,499.0,8,20
