type,N_effort-,Avg evals,budget,run
all,2098.0,0.0,10,1
sway1,31.0,6.0,10,1
xpln1,141.0,6.0,10,1
sway2,140.0,0.0,10,1
xpln2,631.0,0.0,10,1
top,31.0,499.0,10,1
all,2098.0,0.0,10,2
sway1,85.5,6.0,10,2
xpln1,380.0,6.0,10,2
sway2,140.0,0.0,10,2
xpln2,467.5,0.0,10,2
top,31.0,499.0,10,2
all,2098.0,0.0,10,3
sway1,136.0,6.0,10,3
xpln1,570.3333333333334,6.0,10,3
sway2,140.0,0.0,10,3
xpln2,479.0,0.0,10,3
top,31.0,499.0,10,3
all,2098.0,0.0,10,4
sway1,137.25,6.0,10,4
xpln1,598.5,6.0,10,4
sway2,140.0,0.0,10,4
xpln2,628.25,0.0,10,4
top,31.0,499.0,10,4
all,2098.0,0.0,10,5
sway1,529.4,6.0,10,5
xpln1,1307.0,6.0,10,5
sway2,140.0,0.0,10,5
xpln2,613.2,0.0,10,5
top,31.0,499.0,10,5
all,2098.0,0.0,10,6
sway1,464.5,6.0,10,6
xpln1,1230.6666666666667,6.0,10,6
sway2,140.0,0.0,10,6
xpln2,622.3333333333334,0.0,10,6
top,31.0,499.0,10,6
all,2098.0,0.0,10,7
sway1,413.42857142857144,6.0,10,7
xpln1,1132.5714285714287,6.0,10,7
sway2,140.0,0.0,10,7
xpln2,661.1428571428571,0.0,10,7
top,31.0,499.0,10,7
all,2098.0,0.0,10,8
sway1,379.25,6.0,10,8
xpln1,1066.625,6.0,10,8
sway2,140.0,0.0,10,8
xpln2,724.875,0.0,10,8
top,31.0,499.0,10,8
all,2098.0,0.0,10,9
sway1,352.6666666666667,6.0,10,9
xpln1,1000.5555555555555,6.0,10,9
sway2,140.0,0.0,10,9
xpln2,738.6666666666666,0.0,10,9
top,31.0,499.0,10,9
all,2098.0,0.0,10,10
sway1,320.5,6.0,10,10
xpln1,938.0,6.0,10,10
sway2,140.0,0.0,10,10
xpln2,759.9,0.0,10,10
top,31.0,499.0,10,10
