type,LOC+,AEXP-,PLEX-,RISK-,EFFORT-,Avg evals,budget,run
all,1013.0,3.0,3.0,5.0,19548.0,0.0,5,1
sway1,1349.0,1.0,3.0,5.0,23306.0,6.0,5,1
xpln1,1018.0,3.0,3.0,8.0,24987.0,6.0,5,1
sway2,1105.0,2.0,3.0,2.0,25459.0,3.0,5,1
xpln2,1129.0,3.0,3.0,14.0,27235.0,3.0,5,1
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,1
all,1025.0,3.0,3.0,5.5,19660.5,0.0,5,2
sway1,1394.0,2.0,3.0,4.0,26218.0,6.0,5,2
xpln1,1024.0,3.0,3.0,7.0,26010.5,6.0,5,2
sway2,1366.5,2.5,3.0,2.0,30224.0,3.0,5,2
xpln2,1094.5,3.0,3.0,8.5,21809.0,3.0,5,2
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,2
all,1015.0,3.0,3.0,5.333333333333333,19506.333333333332,0.0,5,3
sway1,1066.6666666666667,2.3333333333333335,2.3333333333333335,3.0,18868.0,6.0,5,3
xpln1,988.0,2.6666666666666665,3.0,6.0,24964.333333333332,6.0,5,3
sway2,1459.3333333333333,2.0,3.3333333333333335,2.6666666666666665,46569.0,3.0,5,3
xpln2,1037.0,2.6666666666666665,3.0,8.0,20341.333333333332,3.0,5,3
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,3
all,1021.5,3.0,3.0,5.5,19573.0,0.0,5,4
sway1,1125.75,2.5,2.5,3.75,23622.25,6.0,5,4
xpln1,1056.25,2.75,3.0,5.75,25858.25,6.0,5,4
sway2,1501.5,2.0,3.0,3.0,43674.0,3.0,5,4
xpln2,1052.25,2.75,3.0,6.75,18596.75,3.0,5,4
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,4
all,1033.6,3.0,3.0,5.4,19484.8,0.0,5,5
sway1,1023.2,3.0,2.4,4.6,20385.4,6.0,5,5
xpln1,1053.2,2.8,3.0,5.4,24307.8,6.0,5,5
sway2,1408.6,2.0,2.6,3.2,39936.6,3.0,5,5
xpln2,1053.8,2.8,3.0,6.0,18154.0,3.0,5,5
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,5
all,1037.5,3.0,3.0,5.333333333333333,19300.666666666668,0.0,5,6
sway1,1044.0,3.1666666666666665,2.6666666666666665,4.166666666666667,17946.833333333332,6.0,5,6
xpln1,1054.3333333333333,2.8333333333333335,3.0,5.333333333333333,22784.0,6.0,5,6
sway2,1358.0,2.0,2.6666666666666665,2.8333333333333335,37523.666666666664,3.0,5,6
xpln2,1059.5,2.8333333333333335,3.0,5.833333333333333,17975.833333333332,3.0,5,6
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,6
all,1040.7142857142858,3.0,3.0,5.285714285714286,19136.428571428572,0.0,5,7
sway1,1095.142857142857,3.142857142857143,2.4285714285714284,5.0,19052.571428571428,6.0,5,7
xpln1,1057.5714285714287,2.857142857142857,3.0,5.0,22352.571428571428,6.0,5,7
sway2,1354.0,2.0,2.7142857142857144,3.0,42682.857142857145,3.0,5,7
xpln2,1057.857142857143,2.857142857142857,3.0,5.714285714285714,18396.85714285714,3.0,5,7
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,7
all,1038.75,3.0,3.0,5.25,19167.125,0.0,5,8
sway1,1093.5,3.125,2.5,4.5,17367.75,6.0,5,8
xpln1,1054.125,2.875,3.0,4.875,23023.625,6.0,5,8
sway2,1351.0,2.0,2.625,3.125,46552.25,3.0,5,8
xpln2,1055.75,2.875,3.0,5.375,17992.875,3.0,5,8
top,1543.0,1.0,1.0,3.0,27666.0,1000.0,5,8
