type,LOC+,AEXP-,PLEX-,RISK-,EFFORT-,Avg evals,budget,run
all,1013.0,3.0,3.0,5.0,19548.0,0.0,5,1
sway1,1394.0,1.0,2.0,2.0,48716.0,6.0,5,1
xpln1,916.0,2.0,3.0,4.0,22872.0,6.0,5,1
sway2,1037.0,2.0,1.0,4.0,24987.0,3.0,5,1
xpln2,1134.0,3.0,3.0,5.0,21707.0,3.0,5,1
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,1
all,1050.0,3.0,3.0,5.0,20287.5,0.0,5,2
sway1,1223.0,1.0,1.5,1.0,32016.0,6.0,5,2
xpln1,976.5,2.5,3.0,5.0,19733.5,6.0,5,2
sway2,1037.0,2.0,1.0,4.0,24987.0,3.0,5,2
xpln2,1066.5,3.0,3.0,5.0,22285.0,3.0,5,2
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,2
all,1054.0,3.0,3.0,5.0,19559.666666666668,0.0,5,3
sway1,1357.0,1.3333333333333333,1.6666666666666667,2.0,28092.666666666668,6.0,5,3
xpln1,994.3333333333334,2.6666666666666665,3.0,5.0,18687.333333333332,6.0,5,3
sway2,1037.0,2.0,1.0,4.0,24987.0,3.0,5,3
xpln2,1055.0,3.0,3.0,5.0,20907.0,3.0,5,3
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,3
all,1067.0,3.0,3.0,5.0,19153.0,0.0,5,4
sway1,1424.0,1.75,1.75,1.5,27135.5,6.0,5,4
xpln1,1010.75,2.75,3.0,5.0,17806.75,6.0,5,4
sway2,1037.0,2.0,1.0,4.0,24987.0,3.0,5,4
xpln2,1050.5,3.0,3.0,5.0,20206.25,3.0,5,4
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,4
all,1072.4,3.0,3.0,5.0,18998.4,0.0,5,5
sway1,1219.8,1.6,1.6,2.8,24399.4,6.0,5,5
xpln1,1025.4,2.8,3.0,4.8,18830.8,6.0,5,5
sway2,1037.0,2.0,1.0,4.0,24987.0,3.0,5,5
xpln2,1040.2,3.0,3.0,5.0,20737.6,3.0,5,5
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,5
all,1074.5,3.0,3.0,5.0,19020.666666666668,0.0,5,6
sway1,1281.3333333333333,1.5,1.8333333333333333,3.0,26937.833333333332,6.0,5,6
xpln1,1045.6666666666667,2.8333333333333335,3.0,4.833333333333333,19365.0,6.0,5,6
sway2,1037.0,2.0,1.0,4.0,24987.0,3.0,5,6
xpln2,1039.6666666666667,3.0,3.0,5.166666666666667,20047.166666666668,3.0,5,6
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,6
all,1072.7142857142858,3.0,3.0,5.0,18937.428571428572,0.0,5,7
sway1,1360.142857142857,1.5714285714285714,2.0,2.5714285714285716,25706.0,6.0,5,7
xpln1,1044.4285714285713,2.857142857142857,3.0,4.857142857142857,19158.714285714286,6.0,5,7
sway2,1037.0,2.0,1.0,4.0,24987.0,2.857142857142857,5,7
xpln2,1054.4285714285713,3.0,3.0,5.0,20267.285714285714,2.857142857142857,5,7
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,7
all,1072.125,3.0,3.0,5.0,18952.125,0.0,5,8
sway1,1383.0,1.625,1.875,2.625,25107.125,6.125,5,8
xpln1,1046.375,2.875,3.0,4.875,18659.5,6.125,5,8
sway2,1037.0,2.0,1.0,4.0,24987.0,2.875,5,8
xpln2,1055.125,3.0,3.0,4.75,19781.75,2.875,5,8
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,8
all,1068.2222222222222,3.0,3.0,5.0,19049.777777777777,0.0,5,9
sway1,1393.0,1.8888888888888888,1.7777777777777777,2.3333333333333335,23143.666666666668,6.111111111111111,5,9
xpln1,1044.888888888889,2.888888888888889,3.0,4.888888888888889,18430.11111111111,6.111111111111111,5,9
sway2,1037.0,2.0,1.0,4.0,24987.0,2.888888888888889,5,9
xpln2,1051.7777777777778,3.0,3.0,4.777777777777778,19558.11111111111,2.888888888888889,5,9
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,9
all,1067.7,3.0,3.0,5.0,19050.2,0.0,5,10
sway1,1423.1,1.8,1.8,2.4,25222.5,6.1,5,10
xpln1,1046.1,2.9,3.0,4.7,18365.1,6.1,5,10
sway2,1037.0,2.0,1.0,4.0,24987.0,2.9,5,10
xpln2,1052.6,3.0,3.0,4.6,19240.6,2.9,5,10
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,10
all,1065.2727272727273,3.0,3.0,5.0,19265.090909090908,0.0,5,11
sway1,1436.1818181818182,1.8181818181818181,1.7272727272727273,2.909090909090909,25654.272727272728,6.090909090909091,5,11
xpln1,1049.3636363636363,2.909090909090909,3.0,4.636363636363637,18548.909090909092,6.090909090909091,5,11
sway2,1037.0,2.0,1.0,4.0,24987.0,2.909090909090909,5,11
xpln2,1047.7272727272727,3.0,3.0,4.636363636363637,19569.909090909092,2.909090909090909,5,11
top,1942.0,1.0,2.0,3.0,31323.0,1000.0,5,11
all,1064.8333333333333,3.0,3.0,5.0,19259.5,0.0,5,12
