type,Loc+,Risk-,Effort-,Avg evals,budget,run
all,931.0,5.0,21427.0,0.0,5,1
sway1,1581.0,1.0,35887.0,8.0,5,1
xpln1,1039.0,5.0,19560.0,8.0,5,1
sway2,1000.0,7.0,23480.0,0.0,5,1
xpln2,1006.0,4.0,18737.0,0.0,5,1
top,1987.0,1.0,14908.0,1000.0,5,1
all,921.5,5.0,21213.5,0.0,5,2
sway1,1474.0,0.5,31085.0,8.0,5,2
xpln1,1046.0,5.0,18111.5,8.0,5,2
sway2,728.0,7.0,24238.0,0.0,5,2
xpln2,1007.0,4.0,19088.0,0.0,5,2
top,1949.0,0.5,17826.0,1000.0,5,2
all,947.6666666666666,5.0,19953.0,0.0,5,3
sway1,1347.3333333333333,2.3333333333333335,36834.0,8.0,5,3
xpln1,1001.6666666666666,5.333333333333333,17623.333333333332,8.0,5,3
sway2,842.0,5.333333333333333,23430.333333333332,0.0,5,3
xpln2,1047.6666666666667,4.0,19495.0,0.0,5,3
top,1958.0,0.3333333333333333,18746.0,1000.0,5,3
all,951.0,4.75,20059.5,0.0,5,4
sway1,1209.25,5.75,29786.25,8.0,5,4
xpln1,995.75,5.25,17715.25,8.0,5,4
sway2,858.0,4.5,20064.5,0.0,5,4
xpln2,1050.5,4.0,19817.0,0.0,5,4
top,1961.75,0.25,22666.75,1000.0,5,4
all,968.4,5.0,19997.4,0.0,5,5
sway1,1190.2,5.2,25484.0,8.0,5,5
xpln1,991.6,5.0,18239.2,8.0,5,5
sway2,968.6,4.2,22759.4,0.0,5,5
xpln2,1051.6,4.2,20237.0,0.0,5,5
top,1963.2,0.2,22113.0,1000.0,5,5
all,975.8333333333334,5.0,19854.666666666668,0.0,5,6
sway1,1094.0,5.5,22459.833333333332,8.0,5,6
xpln1,991.1666666666666,5.0,18783.666666666668,8.0,5,6
sway2,924.8333333333334,5.5,22629.666666666668,0.0,5,6
xpln2,1038.5,4.166666666666667,19308.166666666668,0.0,5,6
top,1953.6666666666667,0.16666666666666666,22065.5,1000.0,5,6
all,985.1428571428571,5.0,19934.714285714286,0.0,5,7
sway1,1159.7142857142858,5.0,20574.285714285714,8.0,5,7
xpln1,988.8571428571429,5.142857142857143,18827.571428571428,8.0,5,7
sway2,948.4285714285714,5.428571428571429,24563.285714285714,0.0,5,7
xpln2,1033.7142857142858,4.142857142857143,19004.571428571428,0.0,5,7
top,1956.0,0.14285714285714285,21837.714285714286,1000.0,5,7
all,996.375,5.0,19956.75,0.0,5,8
sway1,1241.5,4.875,20955.75,8.0,5,8
xpln1,984.0,5.0,18292.625,8.0,5,8
