type,Loc+,Risk-,Effort-,Avg evals,budget,run
all,931.0,5.0,21427.0,0.0,5,1
sway1,1904.0,0.0,8284.0,8.0,5,1
xpln1,823.0,3.0,14548.0,8.0,5,1
sway2,1999.0,1.0,14908.0,0.0,5,1
xpln2,1064.0,7.0,22414.0,0.0,5,1
top,1999.0,1.0,14908.0,1000.0,5,1
all,988.0,5.0,20564.5,0.0,5,2
sway1,1921.5,0.0,8550.0,8.0,5,2
xpln1,917.0,4.0,18126.0,8.0,5,2
sway2,1996.0,0.5,14918.0,0.0,5,2
xpln2,1036.0,6.5,23687.5,0.0,5,2
top,1996.0,0.5,14918.0,1000.0,5,2
all,989.0,5.0,20298.666666666668,0.0,5,3
sway1,1818.6666666666667,0.0,9963.666666666666,8.0,5,3
xpln1,1025.0,3.3333333333333335,17779.0,8.0,5,3
sway2,1994.6666666666667,0.3333333333333333,16052.333333333334,0.0,5,3
xpln2,1005.0,6.666666666666667,23804.333333333332,0.0,5,3
top,1994.6666666666667,0.3333333333333333,16052.333333333334,1000.0,5,3
all,1006.25,5.25,20279.5,0.0,5,4
sway1,1848.75,0.0,9676.75,8.0,5,4
xpln1,1053.0,4.25,18848.5,8.0,5,4
sway2,1989.0,0.5,14597.25,0.0,5,4
xpln2,994.0,6.5,23282.0,0.0,5,4
top,1988.25,0.25,16472.5,1000.0,5,4
all,1010.6,5.2,20563.2,0.0,5,5
sway1,1813.8,0.0,10811.2,8.0,5,5
xpln1,1046.6,4.0,18735.8,8.0,5,5
sway2,1974.4,0.4,14478.8,0.0,5,5
xpln2,1010.0,6.2,22262.0,0.0,5,5
top,1973.8,0.2,15979.0,1000.0,5,5
all,1015.0,5.166666666666667,20466.666666666668,0.0,5,6
sway1,1798.6666666666667,0.0,9631.833333333334,8.0,5,6
xpln1,997.6666666666666,4.0,17989.666666666668,8.0,5,6
sway2,1974.6666666666667,0.3333333333333333,14045.5,0.0,5,6
xpln2,1004.6666666666666,6.0,21013.166666666668,0.0,5,6
top,1974.1666666666667,0.16666666666666666,15295.666666666666,1000.0,5,6
all,1009.0,5.285714285714286,20416.14285714286,0.0,5,7
sway1,1797.2857142857142,0.0,15098.42857142857,8.0,5,7
xpln1,988.2857142857143,4.285714285714286,18053.0,8.0,5,7
sway2,1976.142857142857,0.2857142857142857,15903.0,0.0,5,7
xpln2,1009.1428571428571,6.0,20781.14285714286,0.0,5,7
top,1973.857142857143,0.2857142857142857,14572.285714285714,1000.0,5,7
all,1007.25,5.25,20278.125,0.0,5,8
sway1,1804.875,0.0,15490.125,8.0,5,8
xpln1,994.25,4.375,18488.375,8.0,5,8
sway2,1975.625,0.375,15194.125,0.0,5,8
xpln2,1016.875,6.25,21031.875,0.0,5,8
top,1973.625,0.375,14029.75,1000.0,5,8
all,1012.3333333333334,5.333333333333333,20262.666666666668,0.0,5,9
sway1,1811.4444444444443,0.0,14955.111111111111,8.0,5,9
xpln1,994.2222222222222,4.555555555555555,18268.0,8.0,5,9
sway2,1972.4444444444443,0.3333333333333333,14307.777777777777,0.0,5,9
xpln2,1011.5555555555555,6.0,20883.11111111111,0.0,5,9
top,1970.6666666666667,0.3333333333333333,13272.777777777777,1000.0,5,9
all,1004.5,5.3,20314.6,0.0,5,10
sway1,1818.6,0.0,15400.1,8.0,5,10
xpln1,998.1,4.4,18232.2,8.0,5,10
sway2,1974.4,0.4,13633.2,0.0,5,10
xpln2,1019.0,5.7,20635.6,0.0,5,10
top,1972.8,0.4,12701.7,1000.0,5,10
all,1002.6363636363636,5.2727272727272725,20287.272727272728,0.0,5,11
sway1,1808.6363636363637,0.0,14821.818181818182,8.0,5,11
xpln1,997.0,4.2727272727272725,17993.272727272728,8.0,5,11
sway2,1976.090909090909,0.36363636363636365,13750.90909090909,0.0,5,11
xpln2,1020.4545454545455,5.545454545454546,20122.909090909092,0.0,5,11
top,1974.6363636363637,0.36363636363636365,12904.09090909091,1000.0,5,11
all,1004.25,5.25,20095.916666666668,0.0,5,12
sway1,1820.3333333333333,0.0,17706.416666666668,8.0,5,12
xpln1,1009.5833333333334,4.583333333333333,18946.333333333332,8.0,5,12
sway2,1975.5833333333333,0.3333333333333333,14039.916666666666,0.0,5,12
xpln2,1009.8333333333334,5.5,20156.583333333332,0.0,5,12
top,1974.25,0.3333333333333333,13263.666666666666,1000.0,5,12
all,998.0769230769231,5.230769230769231,20037.46153846154,0.0,5,13
sway1,1828.923076923077,0.0,18180.076923076922,8.0,5,13
xpln1,1017.3846153846154,4.538461538461538,19021.384615384617,8.0,5,13
sway2,1974.5384615384614,0.3076923076923077,13722.307692307691,0.0,5,13
xpln2,1011.7692307692307,5.538461538461538,20271.46153846154,0.0,5,13
top,1973.3076923076924,0.3076923076923077,13005.76923076923,1000.0,5,13
all,1003.8571428571429,5.214285714285714,20060.85714285714,0.0,5,14
sway1,1824.857142857143,0.07142857142857142,18219.785714285714,8.0,5,14
xpln1,1017.8571428571429,4.5,19134.214285714286,8.0,5,14
sway2,1974.2142857142858,0.2857142857142857,13972.07142857143,0.0,5,14
xpln2,1010.1428571428571,5.357142857142857,20215.714285714286,0.0,5,14
top,1973.0714285714287,0.2857142857142857,13306.714285714286,1000.0,5,14
all,1001.1333333333333,5.2,20058.4,0.0,5,15
sway1,1816.0,0.06666666666666667,17447.4,8.0,5,15
xpln1,1023.5333333333333,4.4,18678.733333333334,8.0,5,15
sway2,1974.0666666666666,0.3333333333333333,13722.733333333334,0.0,5,15
xpln2,1015.9333333333333,5.333333333333333,20030.466666666667,0.0,5,15
top,1973.0,0.3333333333333333,13101.733333333334,1000.0,5,15
all,1006.0625,5.1875,20053.3125,0.0,5,16
sway1,1818.9375,0.0625,17231.5625,8.0,5,16
xpln1,1018.0,4.4375,18464.5,8.0,5,16
sway2,1974.1875,0.3125,13607.5,0.0,5,16
xpln2,1008.4375,5.375,20233.125,0.0,5,16
top,1973.1875,0.3125,13025.3125,1000.0,5,16
