type,MRE-,ACC+,PRED40+,Avg evals,budget,run
all,75.34,7.16,25.0,0.0,5,1
sway1,68.82,9.07,25.0,8.0,5,1
xpln1,75.36,7.03,25.0,8.0,5,1
sway2,69.09,18.28,25.0,2.0,5,1
xpln2,75.7,6.93,25.0,2.0,5,1
top,69.09,18.28,25.0,1000.0,5,1
all,75.14500000000001,7.145,25.0,0.0,5,2
sway1,69.60499999999999,8.82,25.0,8.0,5,2
xpln1,75.12,7.095000000000001,25.0,8.0,5,2
sway2,70.955,21.91,31.25,1.0,5,2
xpln2,76.475,6.68,25.0,1.0,5,2
top,70.955,21.91,31.25,1000.0,5,2
all,75.21666666666668,7.146666666666666,25.0,0.0,5,3
sway1,69.96999999999998,8.706666666666667,25.0,8.0,5,3
xpln1,74.83666666666666,7.173333333333335,25.0,8.0,5,3
sway2,71.56333333333333,21.646666666666665,29.166666666666668,1.3333333333333333,5,3
xpln2,76.08,6.8566666666666665,25.0,1.3333333333333333,5,3
top,68.21,18.286666666666665,29.166666666666668,1000.0,5,3
all,75.18,7.1525,25.0,0.0,5,4
sway1,70.0025,8.6975,25.0,8.0,5,4
xpln1,74.89,7.175000000000001,25.0,8.0,5,4
sway2,71.8775,22.619999999999997,31.25,1.75,5,4
xpln2,75.81,6.9375,25.0,1.75,5,4
top,69.3625,20.1,31.25,1000.0,5,4
all,75.13000000000001,7.138,25.0,0.0,5,5
sway1,75.764,7.022,20.0,8.0,5,5
xpln1,74.84400000000001,7.19,25.0,8.0,5,5
sway2,72.05799999999999,22.32,30.0,1.8,5,5
xpln2,75.63,6.986,25.0,1.8,5,5
top,65.868,21.966,30.0,1000.0,5,5
all,75.08333333333333,7.138333333333333,25.0,0.0,5,6
sway1,74.01,7.555,20.833333333333332,8.0,5,6
xpln1,74.71333333333334,7.226666666666667,25.0,8.0,5,6
sway2,72.335,21.77333333333333,31.25,1.8333333333333333,5,6
xpln2,75.30999999999999,7.079999999999999,25.0,1.8333333333333333,5,6
top,63.53833333333333,23.210000000000004,29.166666666666668,1000.0,5,6
all,75.0657142857143,7.1499999999999995,25.0,0.0,5,7
sway1,72.28714285714285,8.088571428571429,21.428571428571427,8.0,5,7
xpln1,74.57428571428571,7.2700000000000005,25.0,8.0,5,7
sway2,71.17,23.381428571428568,32.142857142857146,1.8571428571428572,5,7
xpln2,75.43285714285715,7.035714285714286,25.0,1.8571428571428572,5,7
top,63.629999999999995,24.612857142857145,30.357142857142858,1000.0,5,7
all,75.06750000000001,7.15625,25.0,0.0,5,8
sway1,71.94749999999999,8.18125,21.875,8.0,5,8
xpln1,74.58,7.26375,25.0,8.0,5,8
sway2,71.0675,22.471249999999998,31.25,2.0,5,8
xpln2,75.24249999999999,7.09,25.0,2.0,5,8
top,63.69875,25.665000000000003,31.25,1000.0,5,8
all,75.05111111111111,7.147777777777778,25.0,0.0,5,9
sway1,70.61222222222221,9.05888888888889,22.22222222222222,8.0,5,9
xpln1,74.61,7.2555555555555555,25.0,8.0,5,9
sway2,71.2622222222222,22.812222222222218,31.944444444444443,1.7777777777777777,5,9
xpln2,75.42222222222222,7.04,25.0,1.7777777777777777,5,9
top,64.71222222222222,25.651111111111113,31.944444444444443,1000.0,5,9
