type,MRE-,ACC+,PRED40+,Avg evals,budget,run
all,119.28,-12.24,0.0,0.0,20,1
sway1,0.0,0.0,83.33,8.0,20,1
xpln1,0.0,0.0,83.33,8.0,20,1
sway2,0.0,0.0,83.33,0.0,20,1
xpln2,0.0,0.0,83.33,0.0,20,1
top,0.0,0.0,83.33,1000.0,20,1
all,119.35,-12.190000000000001,0.0,0.0,20,2
sway1,0.0,0.0,83.33,8.0,20,2
xpln1,0.0,0.0,83.33,8.0,20,2
sway2,50.355,-0.35,41.665,1.5,20,2
xpln2,0.0,0.0,83.33,1.5,20,2
top,0.0,0.0,83.33,1000.0,20,2
all,119.33,-12.206666666666669,0.0,0.0,20,3
sway1,0.0,0.0,83.33,8.0,20,3
xpln1,0.0,0.0,83.33,8.0,20,3
sway2,33.57,-0.4066666666666667,27.776666666666667,1.0,20,3
xpln2,0.0,0.0,83.33,1.0,20,3
top,0.0,0.0,83.33,1000.0,20,3
all,119.3125,-12.215000000000002,0.0,0.0,20,4
sway1,0.0,0.0,83.33,8.0,20,4
xpln1,0.0,0.0,83.33,8.0,20,4
sway2,50.325,-0.4925,20.8325,1.25,20,4
xpln2,0.0,0.0,83.33,1.25,20,4
top,0.0,0.0,83.33,1000.0,20,4
all,119.324,-12.208000000000002,0.0,0.0,20,5
sway1,0.0,0.0,83.33,8.0,20,5
xpln1,0.0,0.0,83.33,8.0,20,5
sway2,40.260000000000005,-0.394,33.332,1.6,20,5
xpln2,0.0,0.0,83.33,1.6,20,5
top,0.0,0.0,83.33,1000.0,20,5
all,119.325,-12.21,0.0,0.0,20,6
sway1,0.0,0.0,83.33,8.0,20,6
xpln1,0.0,0.0,83.33,8.0,20,6
sway2,33.550000000000004,-0.3283333333333333,41.665,1.6666666666666667,20,6
xpln2,0.0,0.0,83.33,1.6666666666666667,20,6
top,0.0,0.0,83.33,1000.0,20,6
all,119.33428571428571,-12.214285714285714,0.0,0.0,20,7
sway1,0.0,0.0,83.33,8.0,20,7
xpln1,0.0,0.0,83.33,8.0,20,7
sway2,28.75714285714286,-0.2814285714285714,47.61714285714286,1.7142857142857142,20,7
xpln2,0.0,0.0,83.33,1.7142857142857142,20,7
top,0.0,0.0,83.33,1000.0,20,7
all,119.31375,-12.223749999999999,0.0,0.0,20,8
sway1,0.0,0.0,83.33,8.0,20,8
xpln1,0.0,0.0,83.33,8.0,20,8
sway2,25.1625,-0.24625,52.08125,1.875,20,8
xpln2,0.0,0.0,83.33,1.875,20,8
top,0.0,0.0,83.33,1000.0,20,8
all,119.3111111111111,-12.228888888888887,0.0,0.0,20,9
sway1,0.0,0.0,83.33,8.0,20,9
xpln1,0.0,0.0,83.33,8.0,20,9
sway2,22.366666666666667,-0.21888888888888888,55.55333333333333,1.8888888888888888,20,9
xpln2,0.0,0.0,83.33,1.8888888888888888,20,9
top,0.0,0.0,83.33,1000.0,20,9
all,119.31299999999999,-12.224999999999998,0.0,0.0,20,10
sway1,0.0,0.0,83.33000000000001,8.0,20,10
xpln1,0.0,0.0,83.33000000000001,8.0,20,10
sway2,20.130000000000003,-0.197,58.330999999999996,2.0,20,10
xpln2,0.0,0.0,83.33000000000001,2.0,20,10
top,0.0,0.0,83.33000000000001,1000.0,20,10
all,119.29454545454543,-12.226363636363635,0.0,0.0,20,11
sway1,0.0,0.0,83.33000000000001,8.0,20,11
xpln1,0.0,0.0,83.33000000000001,8.0,20,11
sway2,18.3,-0.17909090909090908,60.60363636363636,1.8181818181818181,20,11
xpln2,0.0,0.0,83.33000000000001,1.8181818181818181,20,11
top,0.0,0.0,83.33000000000001,1000.0,20,11
all,119.28749999999998,-12.213333333333331,0.0,0.0,20,12
sway1,0.0,0.0,83.33000000000001,8.0,20,12
xpln1,0.0,0.0,83.33000000000001,8.0,20,12
sway2,16.775000000000002,-0.16416666666666666,62.4975,1.6666666666666667,20,12
xpln2,0.0,0.0,83.33000000000001,1.6666666666666667,20,12
top,0.0,0.0,83.33000000000001,1000.0,20,12
all,119.29076923076921,-12.215384615384615,0.0,0.0,20,13
sway1,0.0,0.0,83.33000000000001,8.0,20,13
xpln1,0.0,0.0,83.33000000000001,8.0,20,13
sway2,15.484615384615385,-0.15153846153846154,64.10000000000001,1.8461538461538463,20,13
xpln2,0.0,0.0,83.33000000000001,1.8461538461538463,20,13
top,0.0,0.0,83.33000000000001,1000.0,20,13
all,119.29357142857141,-12.212142857142855,0.0,0.0,20,14
sway1,0.0,0.0,83.33000000000001,8.0,20,14
xpln1,0.0,0.0,83.33000000000001,8.0,20,14
sway2,14.37857142857143,-0.1407142857142857,65.47357142857143,1.9285714285714286,20,14
xpln2,0.0,0.0,83.33000000000001,1.9285714285714286,20,14
top,0.0,0.0,83.33000000000001,1000.0,20,14
all,119.31133333333331,-12.216,0.0,0.0,20,15
sway1,0.0,0.0,83.33,8.0,20,15
xpln1,0.0,0.0,83.33,8.0,20,15
sway2,13.42,-0.13133333333333333,66.66400000000002,1.9333333333333333,20,15
xpln2,0.0,0.0,83.33,1.9333333333333333,20,15
top,0.0,0.0,83.33,1000.0,20,15
all,119.30499999999998,-12.2175,0.0,0.0,20,16
sway1,0.0,0.0,83.33,8.0,20,16
xpln1,0.0,0.0,83.33,8.0,20,16
sway2,12.58125,-0.123125,67.70562500000001,1.9375,20,16
xpln2,0.0,0.0,83.33,1.9375,20,16
top,0.0,0.0,83.33,1000.0,20,16
all,119.31294117647057,-12.218823529411765,0.0,0.0,20,17
sway1,0.0,0.0,83.33,8.0,20,17
xpln1,0.0,0.0,83.33,8.0,20,17
sway2,11.841176470588236,-0.11588235294117646,68.62470588235294,1.8235294117647058,20,17
xpln2,0.0,0.0,83.33,1.8235294117647058,20,17
top,0.0,0.0,83.33,1000.0,20,17
all,119.31388888888887,-12.217222222222222,0.0,0.0,20,18
sway1,0.0,0.0,83.32999999999998,8.0,20,18
xpln1,0.0,0.0,83.32999999999998,8.0,20,18
sway2,11.183333333333334,-0.10944444444444444,69.44166666666666,1.9444444444444444,20,18
xpln2,0.0,0.0,83.32999999999998,1.9444444444444444,20,18
top,0.0,0.0,83.32999999999998,1000.0,20,18
all,119.30473684210524,-12.216842105263158,0.0,0.0,20,19
sway1,0.0,0.0,83.32999999999998,8.0,20,19
xpln1,0.0,0.0,83.32999999999998,8.0,20,19
sway2,10.594736842105263,-0.10368421052631578,70.17263157894736,1.8421052631578947,20,19
xpln2,0.0,0.0,83.32999999999998,1.8421052631578947,20,19
top,0.0,0.0,83.32999999999998,1000.0,20,19
all,119.30799999999996,-12.218,0.0,0.0,20,20
sway1,5.0295000000000005,-0.028999999999999998,79.16349999999998,8.0,20,20
xpln1,5.025,-0.0245,79.16349999999998,8.0,20,20
sway2,10.065000000000001,-0.0985,70.8305,1.9,20,20
