type,MRE-,ACC+,PRED40+,Avg evals,budget,run
all,119.28,-12.24,0.0,0.0,5,1
sway1,0.0,0.0,83.33,8.0,5,1
xpln1,119.22,-12.19,0.0,8.0,5,1
sway2,0.0,0.0,83.33,2.0,5,1
xpln2,0.0,0.0,83.33,2.0,5,1
top,0.0,0.0,83.33,1000.0,5,1
all,119.325,-12.21,0.0,0.0,5,2
sway1,0.0,0.0,83.33,8.0,5,2
xpln1,118.775,-12.01,0.0,8.0,5,2
sway2,0.0,0.0,83.33,2.0,5,2
xpln2,59.48,-6.05,41.665,2.0,5,2
top,0.0,0.0,83.33,1000.0,5,2
all,119.32666666666667,-12.206666666666669,0.0,0.0,5,3
sway1,0.0,0.0,83.33,8.0,5,3
xpln1,118.81333333333333,-12.026666666666666,0.0,8.0,5,3
sway2,0.0,0.0,83.33,2.0,5,3
xpln2,79.32,-8.123333333333333,27.776666666666667,2.0,5,3
top,0.0,0.0,83.33,1000.0,5,3
all,119.3275,-12.232500000000002,0.0,0.0,5,4
sway1,0.0,0.0,83.33,8.0,5,4
xpln1,119.0075,-12.105,0.0,8.0,5,4
sway2,0.0,0.0,83.33,2.0,5,4
xpln2,84.6225,-6.222499999999999,20.8325,2.0,5,4
top,0.0,0.0,83.33,1000.0,5,4
all,119.32000000000001,-12.244000000000002,0.0,0.0,5,5
sway1,0.0,0.0,83.33,8.0,5,5
xpln1,119.152,-12.164,0.0,8.0,5,5
sway2,0.0,0.0,83.33,2.2,5,5
xpln2,91.432,-7.382,16.666,2.2,5,5
top,0.0,0.0,83.33,1000.0,5,5
all,119.32166666666667,-12.236666666666666,0.0,0.0,5,6
sway1,0.0,0.0,83.33,8.0,5,6
xpln1,119.13166666666666,-12.161666666666667,0.0,8.0,5,6
sway2,0.0,0.0,83.33,2.1666666666666665,5,6
xpln2,96.06666666666666,-8.185,13.888333333333334,2.1666666666666665,5,6
top,0.0,0.0,83.33,1000.0,5,6
all,119.28571428571429,-12.225714285714286,0.0,0.0,5,7
sway1,0.0,0.0,83.33,8.0,5,7
xpln1,119.12428571428572,-12.15857142857143,0.0,8.0,5,7
sway2,0.0,0.0,83.33,2.2857142857142856,5,7
xpln2,99.39,-8.764285714285714,11.904285714285715,2.2857142857142856,5,7
top,0.0,0.0,83.33,1000.0,5,7
all,119.27875,-12.223749999999999,0.0,0.0,5,8
sway1,0.0,0.0,83.33,8.0,5,8
xpln1,119.0875,-12.1425,0.0,8.0,5,8
sway2,0.0,0.0,83.33,2.0,5,8
xpln2,101.87125,-9.19375,10.41625,2.0,5,8
top,0.0,0.0,83.33,1000.0,5,8
all,119.29222222222224,-12.225555555555554,0.0,0.0,5,9
sway1,0.0,0.0,83.33,8.0,5,9
xpln1,119.13000000000001,-12.158888888888889,0.0,8.0,5,9
sway2,0.0,0.0,83.33,2.111111111111111,5,9
xpln2,103.73777777777778,-9.502222222222223,9.258888888888889,2.111111111111111,5,9
top,0.0,0.0,83.33,1000.0,5,9
all,119.31000000000002,-12.226999999999999,0.0,0.0,5,10
sway1,0.0,0.0,83.33000000000001,8.0,5,10
xpln1,119.01700000000001,-12.112,0.0,8.0,5,10
sway2,0.0,0.0,83.33000000000001,2.3,5,10
xpln2,105.301,-9.779,8.333,2.3,5,10
top,0.0,0.0,83.33000000000001,1000.0,5,10
all,119.29727272727274,-12.220909090909089,0.0,0.0,5,11
sway1,0.0,0.0,83.33000000000001,8.0,5,11
xpln1,119.08636363636364,-12.140909090909092,0.0,8.0,5,11
sway2,0.0,0.0,83.33000000000001,2.5454545454545454,5,11
xpln2,106.53090909090908,-9.987272727272726,7.575454545454545,2.5454545454545454,5,11
top,0.0,0.0,83.33000000000001,1000.0,5,11
all,119.30000000000001,-12.222499999999998,0.0,0.0,5,12
sway1,0.0,0.0,83.33000000000001,8.0,5,12
xpln1,119.12583333333333,-12.155833333333334,0.0,8.0,5,12
sway2,0.0,0.0,83.33000000000001,2.3333333333333335,5,12
xpln2,107.47249999999998,-10.123333333333333,6.944166666666667,2.3333333333333335,5,12
top,0.0,0.0,83.33000000000001,1000.0,5,12
