type,Kloc+,Effort-,Defects-,Months-,Avg evals,budget,run
all,47.5,252.0,2007.0,21.4,0.0,4,1
sway1,34.0,240.0,1555.0,16.2,5.0,4,1
xpln1,85.0,300.0,4256.0,23.2,5.0,4,1
sway2,13.0,72.0,683.0,14.8,0.0,4,1
xpln2,20.0,98.8,887.0,16.4,0.0,4,1
top,2.2,8.4,69.0,6.6,93.0,4,1
all,47.5,252.0,2007.0,21.4,0.0,4,2
sway1,20.1,126.0,1016.0,15.8,5.0,4,2
xpln1,50.0,195.0,2469.5,19.3,5.0,4,2
sway2,19.45,94.8,745.5,15.05,0.0,4,2
xpln2,19.85,94.4,750.5,15.7,0.0,4,2
top,2.2,8.4,69.0,6.6,93.0,4,2
all,47.5,252.0,2007.0,21.399999999999995,0.0,4,3
sway1,14.566666666666668,87.60000000000001,713.6666666666666,13.133333333333333,5.0,4,3
xpln1,36.56666666666667,142.0,1747.0,16.533333333333335,5.0,4,3
sway2,18.099999999999998,86.53333333333335,752.0,14.866666666666667,0.6666666666666666,4,3
xpln2,23.900000000000002,119.60000000000001,1040.0,16.7,0.6666666666666666,4,3
top,2.2,8.4,69.0,6.599999999999999,93.0,4,3
all,47.5,252.0,2007.0,21.4,0.0,4,4
sway1,13.425,77.7,642.0,12.95,5.0,4,4
xpln1,31.175,129.0,1454.0,16.2,5.0,4,4
sway2,22.45,112.9,1004.75,15.975000000000001,1.0,4,4
xpln2,25.925,132.2,1184.75,17.2,1.0,4,4
top,2.2,8.4,69.0,6.6,93.0,4,4
all,47.5,252.0,2007.0,21.4,0.0,4,5
sway1,12.820000000000002,72.16,578.4,12.6,5.0,4,5
xpln1,26.880000000000003,110.4,1223.6,15.16,5.0,4,5
sway2,47.96,128.72,1973.4,20.020000000000003,0.8,4,5
xpln2,38.739999999999995,144.16,1789.8,19.86,0.8,4,5
top,2.2,8.4,69.0,6.6,93.0,4,5
all,47.5,252.0,2007.0,21.400000000000002,0.0,4,6
sway1,12.300000000000002,64.33333333333333,532.3333333333334,12.333333333333334,5.0,4,6
xpln1,24.016666666666666,98.0,1070.0,14.466666666666667,5.0,4,6
sway2,45.400000000000006,135.6,1914.3333333333333,19.8,1.0,4,6
xpln2,37.61666666666667,148.46666666666667,1761.3333333333333,19.666666666666668,1.0,4,6
top,2.1999999999999997,8.4,69.0,6.6000000000000005,93.0,4,6
all,47.5,252.0,2007.0,21.400000000000002,0.0,4,7
sway1,24.82857142857143,85.85714285714286,1076.5714285714287,14.571428571428571,5.0,4,7
xpln1,34.871428571428574,114.71428571428571,1537.4285714285713,16.4,5.0,4,7
sway2,41.114285714285714,126.22857142857143,1750.142857142857,19.042857142857144,1.1428571428571428,4,7
xpln2,36.9,154.68571428571428,1737.4285714285713,19.599999999999998,1.1428571428571428,4,7
top,2.1999999999999997,8.4,69.0,6.6000000000000005,93.0,4,7
all,47.5,252.0,2007.0,21.400000000000002,0.0,4,8
sway1,23.6,81.125,1000.75,14.45,5.0,4,8
xpln1,33.0125,106.375,1423.5,16.2375,5.0,4,8
sway2,37.85,121.7,1603.25,18.5625,1.0,4,8
xpln2,34.7875,144.35,1616.125,19.037499999999998,1.0,4,8
top,2.1999999999999997,8.4,69.0,6.6000000000000005,93.0,4,8
all,47.5,252.0,2007.0,21.400000000000002,0.0,4,9
sway1,21.58888888888889,74.11111111111111,908.6666666666666,13.855555555555554,5.0,4,9
xpln1,30.5,100.11111111111111,1301.3333333333333,15.677777777777777,5.0,4,9
sway2,34.75555555555556,113.51111111111112,1461.111111111111,17.744444444444444,0.8888888888888888,4,9
xpln2,32.47777777777778,134.97777777777776,1500.4444444444443,18.466666666666665,0.8888888888888888,4,9
top,2.1999999999999997,8.4,69.0,6.6000000000000005,93.0,4,9
all,47.5,252.0,2007.0,21.400000000000002,0.0,4,10
sway1,23.23,87.7,973.1,14.6,5.0,4,10
xpln1,31.25,111.1,1326.5,16.240000000000002,5.0,4,10
sway2,33.87,108.16,1395.8,17.5,0.8,4,10
xpln2,30.73,127.47999999999999,1407.0,18.009999999999998,0.8,4,10
top,2.1999999999999997,8.400000000000002,69.0,6.6,93.0,4,10
all,47.5,252.0,2007.0,21.400000000000002,0.0,4,11
