type,Kloc+,Effort-,Defects-,Months-,Avg evals,budget,run
all,47.5,252.0,2007.0,21.4,0.0,2,1
sway1,34.0,72.0,1555.0,16.2,5.0,2,1
xpln1,111.0,432.0,4511.0,23.5,5.0,2,1
sway2,3.0,38.0,231.0,12.0,2.0,2,1
xpln2,48.5,240.0,2409.0,21.5,2.0,2,1
top,0.9,8.4,28.0,4.9,93.0,2,1
all,47.5,252.0,2007.0,21.4,0.0,2,2
sway1,19.75,45.0,863.5,12.649999999999999,5.0,2,2
xpln1,60.7,241.0,2417.5,17.35,5.0,2,2
sway2,3.0,38.0,231.0,12.0,2.0,2,2
xpln2,27.875,139.0,1432.5,18.45,2.0,2,2
top,0.9,8.4,28.0,4.9,93.0,2,2
all,47.5,252.0,2007.0,21.399999999999995,0.0,2,3
sway1,15.166666666666666,38.0,638.3333333333334,11.733333333333333,5.0,2,3
xpln1,47.13333333333333,176.66666666666666,1800.3333333333333,16.366666666666667,5.0,2,3
sway2,3.0,38.0,231.0,12.0,2.0,2,3
xpln2,25.016666666666666,156.66666666666666,1352.0,18.53333333333333,2.0,2,3
top,0.9,8.4,28.0,4.9,93.0,2,3
all,47.5,252.0,2007.0,21.4,0.0,2,4
sway1,13.3,36.3,538.75,11.325,5.0,2,4
xpln1,41.5,161.9,1542.0,16.025,5.0,2,4
sway2,3.0,38.0,231.0,12.0,2.25,2,4
xpln2,23.5875,165.5,1311.75,18.575,2.25,2,4
top,0.9,8.4,28.0,4.9,93.0,2,4
all,47.5,252.0,2007.0,21.4,0.0,2,5
sway1,11.84,33.839999999999996,468.6,11.04,5.0,2,5
xpln1,37.2,139.12,1346.8,15.7,5.0,2,5
sway2,3.0,38.0,231.0,12.0,2.4,2,5
xpln2,29.47,228.4,1646.2,20.880000000000003,2.4,2,5
top,0.9,8.4,28.0,4.9,93.0,2,5
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,6
sway1,10.366666666666667,34.53333333333333,429.0,11.199999999999998,5.0,2,6
xpln1,41.833333333333336,223.9333333333333,1565.3333333333333,18.016666666666666,5.0,2,6
sway2,4.633333333333334,42.0,298.5,12.266666666666666,2.3333333333333335,2,6
xpln2,29.991666666666664,222.33333333333334,1637.5,20.6,2.3333333333333335,2,6
top,0.9,8.4,28.0,4.8999999999999995,93.0,2,6
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,7
sway1,9.200000000000001,30.8,377.57142857142856,10.542857142857141,5.0,2,7
xpln1,38.0,200.5142857142857,1429.4285714285713,17.585714285714285,5.0,2,7
sway2,4.1,37.199999999999996,259.85714285714283,11.214285714285714,2.0,2,7
xpln2,29.135714285714283,200.85714285714286,1519.0,19.842857142857145,2.0,2,7
top,0.9000000000000001,8.4,28.0,4.8999999999999995,93.0,2,7
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,8
sway1,8.8625,32.2,366.625,10.724999999999998,5.0,2,8
xpln1,35.875,189.7,1383.0,17.912499999999998,5.0,2,8
sway2,5.1875,40.3,306.875,11.5125,2.0,2,8
xpln2,29.49375,197.0,1531.5,19.7,2.0,2,8
top,0.9000000000000001,8.4,28.0,4.8999999999999995,93.0,2,8
all,47.5,252.0,2007.0,21.400000000000002,0.0,2,9
sway1,8.211111111111112,32.84444444444445,351.55555555555554,10.866666666666665,5.0,2,9
