type,Cost-,Completion+,Idle-,Avg evals,budget,run
all,325.59,0.9,0.23,0.0,20,1
sway1,414.3,0.92,0.29,8.0,20,1
xpln1,517.03,0.9,0.23,8.0,20,1
sway2,394.32,0.9,0.22,2.0,20,1
xpln2,350.24,0.89,0.23,2.0,20,1
top,138.75,0.89,0.0,1000.0,20,1
all,323.885,0.9,0.235,0.0,20,2
sway1,376.65,0.915,0.25,8.0,20,2
xpln1,437.335,0.9,0.22,8.0,20,2
sway2,418.635,0.905,0.22,1.0,20,2
xpln2,340.615,0.895,0.23,1.0,20,2
top,143.365,0.895,0.0,1000.0,20,2
all,330.08,0.9,0.24666666666666667,0.0,20,3
sway1,377.62999999999994,0.92,0.2833333333333333,8.0,20,3
xpln1,403.34999999999997,0.9033333333333333,0.24333333333333332,8.0,20,3
sway2,389.4766666666667,0.8666666666666667,0.17666666666666667,1.6666666666666667,20,3
xpln2,332.31333333333333,0.8966666666666666,0.24,1.6666666666666667,20,3
top,144.95000000000002,0.9033333333333333,0.0,1000.0,20,3
all,333.4575,0.8975000000000001,0.24,0.0,20,4
sway1,337.395,0.905,0.265,8.0,20,4
xpln1,356.685,0.9125,0.235,8.0,20,4
sway2,387.12,0.8775000000000001,0.165,1.75,20,4
xpln2,329.735,0.8975,0.24,1.75,20,4
top,149.6875,0.9025,0.0,1000.0,20,4
all,333.222,0.898,0.236,0.0,20,5
sway1,344.32,0.906,0.23200000000000004,8.0,20,5
xpln1,353.546,0.908,0.238,8.0,20,5
sway2,361.684,0.874,0.16,1.8,20,5
xpln2,334.596,0.9,0.24,1.8,20,5
top,155.43,0.906,0.0,1000.0,20,5
all,333.0416666666667,0.9,0.235,0.0,20,6
sway1,319.5833333333333,0.9050000000000001,0.23,8.0,20,6
xpln1,351.4916666666666,0.9066666666666667,0.24,8.0,20,6
sway2,368.8316666666667,0.8783333333333334,0.16,1.5,20,6
xpln2,335.47499999999997,0.8983333333333333,0.24,1.5,20,6
top,151.955,0.9033333333333333,0.0,1000.0,20,6
