type,Cost-,Completion+,Idle-,Avg evals,budget,run
all,339.19,0.9,0.22,0.0,5,1
sway1,138.75,1.0,0.0,8.0,5,1
xpln1,345.74,0.9,0.24,8.0,5,1
sway2,91.83,1.0,0.0,2.0,5,1
xpln2,261.91,0.89,0.26,2.0,5,1
top,91.83,1.0,0.0,1000.0,5,1
all,338.935,0.9,0.225,0.0,5,2
sway1,112.745,0.94,0.0,8.0,5,2
xpln1,355.195,0.895,0.25,8.0,5,2
sway2,121.29499999999999,1.0,0.0,1.0,5,2
xpln2,310.65,0.895,0.275,1.0,5,2
top,121.29499999999999,1.0,0.0,1000.0,5,2
all,333.70666666666665,0.9,0.23666666666666666,0.0,5,3
sway1,100.13,0.9266666666666666,0.03333333333333333,8.0,5,3
xpln1,338.31666666666666,0.8966666666666666,0.24666666666666667,8.0,5,3
sway2,145.65666666666667,0.9533333333333333,0.0,0.6666666666666666,5,3
xpln2,326.07,0.8966666666666666,0.25666666666666665,0.6666666666666666,5,3
top,145.96333333333334,1.0,0.0,1000.0,5,3
all,331.5875,0.9,0.24,0.0,5,4
sway1,114.60499999999999,0.9324999999999999,0.0575,8.0,5,4
xpln1,347.4575,0.8925,0.2125,8.0,5,4
sway2,142.20749999999998,0.9425,0.0125,1.0,5,4
xpln2,335.46750000000003,0.895,0.24,1.0,5,4
top,135.98,1.0,0.0,1000.0,5,4
all,331.166,0.9,0.242,0.0,5,5
sway1,119.154,0.9159999999999998,0.054000000000000006,8.0,5,5
xpln1,338.322,0.892,0.22599999999999998,8.0,5,5
sway2,135.004,0.954,0.01,0.8,5,5
xpln2,334.276,0.8960000000000001,0.22799999999999998,0.8,5,5
top,130.022,1.0,0.0,1000.0,5,5
all,331.32166666666666,0.9,0.24166666666666667,0.0,5,6
sway1,132.43666666666667,0.9033333333333332,0.045000000000000005,8.0,5,6
xpln1,355.16,0.895,0.22999999999999998,8.0,5,6
sway2,126.02333333333333,0.9616666666666666,0.008333333333333333,0.6666666666666666,5,6
xpln2,333.81,0.895,0.2233333333333333,0.6666666666666666,5,6
top,121.87166666666666,1.0,0.0,1000.0,5,6
all,326.4985714285714,0.9000000000000001,0.24285714285714285,0.0,5,7
sway1,152.81857142857143,0.917142857142857,0.038571428571428576,8.0,5,7
xpln1,351.1457142857143,0.8942857142857142,0.2314285714285714,8.0,5,7
sway2,121.41142857142857,0.9528571428571428,0.0071428571428571435,0.8571428571428571,5,7
xpln2,327.0371428571429,0.89,0.23857142857142857,0.8571428571428571,5,7
top,117.85285714285713,0.9857142857142858,0.0,1000.0,5,7
all,325.20874999999995,0.9000000000000001,0.2425,0.0,5,8
sway1,142.835,0.9049999999999999,0.03375,8.0,5,8
xpln1,358.0525,0.895,0.22999999999999998,8.0,5,8
sway2,130.77,0.94625,0.00625,1.0,5,8
xpln2,325.36125000000004,0.8912500000000001,0.23625,1.0,5,8
top,113.26124999999999,0.9875,0.0,1000.0,5,8
all,324.2822222222222,0.8988888888888891,0.24000000000000002,0.0,5,9
sway1,138.65555555555557,0.9155555555555553,0.030000000000000002,8.0,5,9
xpln1,350.11,0.8933333333333334,0.23666666666666666,8.0,5,9
sway2,136.05777777777777,0.9500000000000001,0.012222222222222223,0.8888888888888888,5,9
xpln2,325.8222222222223,0.8922222222222224,0.2422222222222222,0.8888888888888888,5,9
top,117.42777777777776,0.9888888888888889,0.0,1000.0,5,9
all,322.5949999999999,0.8990000000000002,0.24000000000000005,0.0,5,10
sway1,131.89000000000001,0.9239999999999998,0.049,8.0,5,10
xpln1,347.61,0.8950000000000001,0.23899999999999996,8.0,5,10
sway2,140.45,0.9550000000000001,0.024,1.0,5,10
xpln2,326.00700000000006,0.8930000000000001,0.24799999999999994,1.0,5,10
top,118.357,0.99,0.0,1000.0,5,10
all,323.1618181818181,0.8990909090909093,0.23909090909090913,0.0,5,11
sway1,128.14909090909092,0.9309090909090908,0.04454545454545455,8.0,5,11
xpln1,346.6790909090909,0.8972727272727273,0.24818181818181814,8.0,5,11
sway2,136.03,0.9590909090909091,0.021818181818181816,0.9090909090909091,5,11
xpln2,327.15000000000003,0.8936363636363638,0.2518181818181818,0.9090909090909091,5,11
top,115.94545454545454,0.990909090909091,0.0,1000.0,5,11
